,4fe4s_1,4fe4s_2,4fe4s_3,4fe4s_4,4fe4s_5,4fe4s_6,4fe4s_7,4fe4s_8,4fe4s_9,4fe4s_10
biomass_dilution,0.10170440673828127,0.10169296264648438,0.10168228149414063,0.10167083740234376,0.10165939331054687,0.10164871215820312,0.10163726806640624,0.1016265869140625,0.10161514282226562,0.10160369873046873
protein_biomass_to_biomass,0.035771753201795264,0.03576706367026571,0.03576263714138641,0.035757947641487896,0.03575325632740859,0.035748831676007425,0.03574414222352701,0.03573971577382418,0.03573502635297456,0.035730336947912014
mRNA_biomass_to_biomass,0.00011834683376786123,0.00011835781600815486,0.00011836985323015706,0.0001183808343212183,0.00011839188828829973,0.00011840385033937319,0.00011841482970627686,0.00011842686406258233,0.00011843784228021123,0.00011844881992291896
tRNA_biomass_to_biomass,0.0007181867866357133,0.0007182425735584497,0.0007183047612688417,0.0007183605422024054,0.0007184167563519646,0.000718478498856689,0.0007185342708128399,0.0007185964435210908,0.0007186522094878011,0.0007187079724662964
rRNA_biomass_to_biomass,0.005196036741094577,0.0051964027469378745,0.005196815026365531,0.005197180992123026,0.0051975500822322,0.005197959156954315,0.005198325062653955,0.005198737241430243,0.005199103107042168,0.0051994689526822175
ncRNA_biomass_to_biomass,9.332719885290152e-06,9.330058258675038e-06,9.327581753214631e-06,9.324921074274129e-06,9.322263761215334e-06,9.319785718743073e-06,9.317126478164146e-06,9.314652191769734e-06,9.311993898457975e-06,9.309336095867649e-06
DNA_biomass_to_biomass,0.006028049884015179,0.00602737354412671,0.006026742292592817,0.006026065950623277,0.006025389607577831,0.006024758353098353,0.006024082007973818,0.006023450751554467,0.006022774404352149,0.006022098056075627
lipid_biomass_to_biomass,0.019495774685708903,0.019493580961343265,0.01949153348526867,0.019489339760903033,0.019487146036537395,0.0194850985604628,0.019482904836097163,0.019480857360022568,0.01947866363565693,0.019476469911291292
constituent_biomass_to_biomass,0.014180995351396247,0.014179399662302949,0.01417791035248254,0.014176314663389243,0.014174718974295945,0.014173229664475536,0.01417163397538224,0.01417014466556183,0.014168548976468534,0.014166953287375236
prosthetic_group_biomass_to_biomass,6.431935797239525e-05,6.423829915812413e-05,6.415760776259133e-05,6.407654788244024e-05,6.399468992609687e-05,6.391479453570287e-05,6.383373304084032e-05,6.375303911767051e-05,6.367197655661702e-05,6.359091344675998e-05
peptidoglycan_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_2ddglcn_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_2hxmp_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_2pg_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_2pglyc_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_3amba_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_3amp_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_3cmp_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_3gmp_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_3pg_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_3ump_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
