,base,ASPt2r_FWD_CPLX_dummy_s,4FE4St_s,PYDX5Pt_s,TYRt2r_REV_CPLX_dummy_s,HISt2r_FWD_BSU39390-MONOMER_s,METt3_FWD_CPLX_dummy_s,CBL1t_s,ASNt2r_FWD_CPLX_dummy_s,PSER_Lt6_FWD_CPLX_dummy_s,PHEt2r_REV_CPLX_dummy_s,THMPPt_s,CITt13_FWD_BSU07610-MONOMER_s
biomass_dilution,0.04533893147198116,0.04555417033296674,0.04540231955676434,0.045327373450506296,0.045330118869894694,0.04532425811508425,0.0453275768453476,0.0453275768453476,0.045335689178183376,0.0453275768453476,0.0453431397431542,0.0,0.0
protein_biomass_to_biomass,0.026118379823689124,0.026243397379384577,0.026156015733656612,0.026112416677024086,0.02611395568013426,0.02611060153551055,0.02611247892578131,0.02611247892578131,0.026117199448889565,0.02611247892578131,0.02612148268459143,0.0,0.0
mRNA_biomass_to_biomass,8.836861407118837e-05,8.875933846516603e-05,8.845951774866289e-05,8.832626213926805e-05,8.833282561796896e-05,8.832081156204734e-05,8.832827555809083e-05,8.832827555809083e-05,8.834269257395084e-05,8.832827555809083e-05,8.835748740905188e-05,0.0,0.0
tRNA_biomass_to_biomass,0.0005228031664275876,0.0005251143865726546,0.0005233417723284074,0.0005225534981833658,0.0005225923418420169,0.0005225212050401761,0.0005225654365717387,0.0005225654365717387,0.0005226506979604305,0.0005225654365717387,0.0005227382067754912,0.0,0.0
rRNA_biomass_to_biomass,0.003869135759614418,0.0038862576420431953,0.0038731318854272816,0.0038672851483038174,0.0038675725759718736,0.0038670458261766626,0.0038673731916366604,0.0038673731916366604,0.003868003712725371,0.0038673731916366604,0.0038686529121488866,0.0,0.0
ncRNA_biomass_to_biomass,2.5878713959603642e-05,2.584028328551678e-05,2.5870703088959267e-05,2.5866662959264193e-05,2.586958806367903e-05,2.5863661618347314e-05,2.586832462451443e-05,2.586832462451443e-05,2.585988952050816e-05,2.586832462451443e-05,2.586829918800659e-05,0.0,0.0
DNA_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lipid_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
constituent_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prosthetic_group_biomass_to_biomass,2.277674339410754e-05,2.289027731180958e-05,2.2741094332569823e-05,2.269082107045128e-05,2.2695788189377774e-05,2.269171145178216e-05,2.2693295423299696e-05,2.2693295423299696e-05,2.270804651317104e-05,2.2693295423299696e-05,2.2706142958658064e-05,0.0,0.0
peptidoglycan_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_2ddglcn_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_2hxmp_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_2pg_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_2pglyc_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_3amba_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_3amp_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_3cmp_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_3gmp_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
