,base,HISt2r_FWD_BSU39390-MONOMER_s,CBL1t_s,ASPt2r_FWD_CPLX_dummy_s,ASNt2r_FWD_CPLX_dummy_s,METt3_FWD_CPLX_dummy_s,4FE4St_s,PYDX5Pt_s,PSER_Lt6_FWD_CPLX_dummy_s,TYRt2r_REV_CPLX_dummy_s,PHEt2r_REV_CPLX_dummy_s,THMPPt_s,CITt13_FWD_BSU07610-MONOMER_s
biomass_dilution,0.04533893147198116,0.04532624735726141,0.04532967268118273,0.04532506031937312,0.04532967268118273,0.04532967268118273,0.04540432337697016,0.045330771261329686,0.045335689178183376,0.045331661777684606,0.04534484371718409,0.0,0.0
protein_biomass_to_biomass,0.026118379823689124,0.026111696156254194,0.026113634900119143,0.02611119605341454,0.026113634900119143,0.026113634900119143,0.02615712949611384,0.02611437549207845,0.026117199448889565,0.026114797353843158,0.0261224172465412,0.0,0.0
mRNA_biomass_to_biomass,8.836861407118837e-05,8.832551110143034e-05,8.833318402444531e-05,8.831764887606273e-05,8.833318402444531e-05,8.833318402444531e-05,8.846409699509446e-05,8.83328360410877e-05,8.834269257395084e-05,8.833653193763706e-05,8.836152073963544e-05,0.0,0.0
tRNA_biomass_to_biomass,0.0005228031664275876,0.0005225482384698399,0.0005225937066425066,0.0005225012458488011,0.0005225937066425066,0.0005225937066425066,0.0005233681989147515,0.0005225920609255427,0.0005226506979604305,0.0005226134942287832,0.0005227612997461186,0.0,0.0
rRNA_biomass_to_biomass,0.003869135759614418,0.003867248825703131,0.00386758533981472,0.0038669031224475786,0.00386758533981472,0.00386758533981472,0.0038733301941396418,0.003867572277615869,0.003868003712725371,0.003867732048521968,0.003868826738532704,0.0,0.0
ncRNA_biomass_to_biomass,2.5878713959603642e-05,2.585957323900126e-05,2.5864316022412586e-05,2.5842994531125247e-05,2.5864316022412586e-05,2.5864316022412586e-05,2.5866446671741985e-05,2.5858847031519352e-05,2.585988952050816e-05,2.5864985198119275e-05,2.5863687097400212e-05,0.0,0.0
DNA_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lipid_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
constituent_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prosthetic_group_biomass_to_biomass,2.277674339410754e-05,2.2739964600828073e-05,2.274160324248602e-05,2.2751474209332e-05,2.274160324248602e-05,2.274160324248602e-05,2.2779602571055407e-05,2.2703533343088717e-05,2.270804651317104e-05,2.274385241816178e-05,2.2753523347612412e-05,0.0,0.0
peptidoglycan_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_2ddglcn_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_2hxmp_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_2pg_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
