,base,PYDX5Pt_s,METt3_FWD_CPLX_dummy_s,4FE4St_s,PSER_Lt6_FWD_CPLX_dummy_s,HISt2r_FWD_BSU39390-MONOMER_s,CBL1t_s,ASPt2r_FWD_CPLX_dummy_s,TYRt2r_REV_CPLX_dummy_s,ASNt2r_FWD_CPLX_dummy_s,PHEt2r_REV_CPLX_dummy_s,THMPPt_s,CITt13_FWD_BSU07610-MONOMER_s
biomass_dilution,0.04533893147198116,0.04532516605190375,0.0453240008215706,0.04539864800008507,0.045330118869894694,0.045320599197469995,0.0453240008215706,0.0453230577829063,0.0453240008215706,0.045331661777684606,0.045339595077769024,0.0,0.0
protein_biomass_to_biomass,0.026118379823689124,0.026111111534857307,0.02611033696973726,0.026153829372705596,0.02611395568013426,0.02610841186768448,0.02611033696973726,0.026109981739010555,0.02611033696973726,0.026114797353843158,0.02611936314476286,0.0,0.0
mRNA_biomass_to_biomass,8.836861407118837e-05,8.832290214482157e-05,8.832303814716594e-05,8.845394113617496e-05,8.833282561796896e-05,8.831541170779024e-05,8.832303814716594e-05,8.831564477120188e-05,8.832303814716594e-05,8.833653193763706e-05,8.835223774737446e-05,0.0,0.0
tRNA_biomass_to_biomass,0.0005228031664275876,0.0005225333121516194,0.0005225337231903848,0.0005233081526782607,0.0005225923418420169,0.0005224885301386456,0.0005225337231903848,0.0005224895832838727,0.0005225337231903848,0.0005226134942287832,0.000522706446097049,0.0,0.0
rRNA_biomass_to_biomass,0.003869135759614418,0.003867138235106115,0.003867142134153277,0.003872886527664309,0.0038675725759718736,0.0038668076552915496,0.003867142134153277,0.003866817405440068,0.003867142134153277,0.003867732048521968,0.0038684214735071956,0.0,0.0
ncRNA_biomass_to_biomass,2.5878713959603642e-05,2.586858615434456e-05,2.5873544264918288e-05,2.587569777850131e-05,2.586958806367903e-05,2.5868816663462194e-05,2.5873544264918288e-05,2.5856792060833233e-05,2.5873544264918288e-05,2.5864985198119275e-05,2.5873061911132028e-05,0.0,0.0
DNA_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lipid_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
constituent_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prosthetic_group_biomass_to_biomass,2.277674339410754e-05,2.2691243132311196e-05,2.272686660038453e-05,2.2765285975333258e-05,2.2695788189377774e-05,2.272524041154407e-05,2.272686660038453e-05,2.2731890146333155e-05,2.272686660038453e-05,2.274385241816178e-05,2.2736944814301073e-05,0.0,0.0
peptidoglycan_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_2ddglcn_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_2hxmp_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_2pg_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_2pglyc_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_3amba_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_3amp_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_3cmp_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_3gmp_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_3pg_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_3ump_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_4abut_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_5mtr_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_6pgc_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_Larab_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_Lcyst_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_abt__L_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_ac_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_acac_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_acgam_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_acmana_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_acnam_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_actn__R_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
