,base,HISt2r_FWD_BSU39390-MONOMER_s,CBL1t_s,ASNt2r_FWD_CPLX_dummy_s,ASPt2r_FWD_CPLX_dummy_s,PSER_Lt6_FWD_CPLX_dummy_s,METt3_FWD_CPLX_dummy_s,TYRt2r_REV_CPLX_dummy_s,PYDX5Pt_s,4FE4St_s,PHEt2r_REV_CPLX_dummy_s,THMPPt_s,CITt13_FWD_BSU07610-MONOMER_s
biomass_dilution,0.04533893147198116,0.04531768637709855,0.04532065156473097,0.04532506031937312,0.04532065156473097,0.04555417033296674,0.04532065156473097,0.0453230577829063,0.045542677171281416,0.0454043709071194,0.04533677690316647,0.0,0.0
protein_biomass_to_biomass,0.026118379823689124,0.026106901323554043,0.026108578950669738,0.02611119605341454,0.026108578950669738,0.026243397379384577,0.026108578950669738,0.026109981739010555,0.026236787538570894,0.02615721624495935,0.026117907146865352,0.0,0.0
mRNA_biomass_to_biomass,8.836861407118837e-05,8.830478994616684e-05,8.831144646519533e-05,8.831764887606273e-05,8.831144646519533e-05,8.875933846516603e-05,8.831144646519533e-05,8.831564477120188e-05,8.87365457948102e-05,8.846253541728097e-05,8.834179943442538e-05,0.0,0.0
tRNA_biomass_to_biomass,0.0005228031664275876,0.0005224252804028724,0.0005224647397509346,0.0005225012458488011,0.0005224647397509346,0.0005251143865726546,0.0005224647397509346,0.0005224895832838727,0.0005249792575479863,0.0005233587632945055,0.0005226442822694053,0.0,0.0
rRNA_biomass_to_biomass,0.003869135759614418,0.003866341263561108,0.0038666333029746024,0.0038669031224475786,0.0038666333029746024,0.0038862576420431953,0.0038666333029746024,0.003866817405440068,0.003885259606684678,0.0038732627549743592,0.0038679631144239086,0.0,0.0
ncRNA_biomass_to_biomass,2.5878713959603642e-05,2.585159357444727e-05,2.5855977561981734e-05,2.5842994531125247e-05,2.5855977561981734e-05,2.584028328551678e-05,2.5855977561981734e-05,2.5856792060833233e-05,2.5841376547278752e-05,2.5866792384184203e-05,2.5855912013180436e-05,0.0,0.0
DNA_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lipid_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
constituent_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prosthetic_group_biomass_to_biomass,2.277674339410754e-05,2.273013156076192e-05,2.2731487556788938e-05,2.2751474209332e-05,2.2731487556788938e-05,2.289027731180958e-05,2.2731487556788938e-05,2.2731890146333155e-05,2.2879855689637652e-05,2.2769678300086226e-05,2.2741878048432856e-05,0.0,0.0
peptidoglycan_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
