,base,PSER_Lt6_FWD_CPLX_dummy_s,CBL1t_s,HISt2r_FWD_BSU39390-MONOMER_s,TYRt2r_REV_CPLX_dummy_s,ASNt2r_FWD_CPLX_dummy_s,ASPt2r_FWD_CPLX_dummy_s,PYDX5Pt_s,4FE4St_s,METt3_FWD_CPLX_dummy_s,PHEt2r_REV_CPLX_dummy_s,THMPPt_s,CITt13_FWD_BSU07610-MONOMER_s
biomass_dilution,0.04533893147198116,0.0453431397431542,0.04533718461687651,0.04533367927672726,0.045339595077769024,0.04534484371718409,0.04533677690316647,0.045338343676318865,0.04541076572334578,0.04533723862638768,0.04533718461687651,0.0,0.0
protein_biomass_to_biomass,0.026118379823689124,0.02612148268459143,0.026117957912977184,0.02611597311503902,0.02611936314476286,0.0261224172465412,0.026117907146865352,0.026118728970980398,0.026160837483790764,0.026117989046595094,0.026117957912977184,0.0,0.0
mRNA_biomass_to_biomass,8.836861407118837e-05,8.835748740905188e-05,8.834803114062194e-05,8.834020125996591e-05,8.835223774737446e-05,8.836152073963544e-05,8.834179943442538e-05,8.834786808432143e-05,8.847681430397821e-05,8.834813631440521e-05,8.834803114062194e-05,0.0,0.0
tRNA_biomass_to_biomass,0.0005228031664275876,0.0005227382067754912,0.000522681553491028,0.0005226351562437378,0.000522706446097049,0.0005227612997461186,0.0005226442822694053,0.0005226809701329928,0.0005234434605138784,0.0005226821744248182,0.000522681553491028,0.0,0.0
rRNA_biomass_to_biomass,0.003869135759614418,0.0038686529121488866,0.00386823700755437,0.0038678936200357335,0.0038684214735071956,0.003868826738532704,0.0038679631144239086,0.0038682318379741824,0.0038738885940125646,0.003868241601682999,0.00386823700755437,0.0,0.0
ncRNA_biomass_to_biomass,2.5878713959603642e-05,2.586829918800659e-05,2.5872245565823293e-05,2.586744082312756e-05,2.5873061911132028e-05,2.5863687097400212e-05,2.5855912013180436e-05,2.586728318242513e-05,2.5874753254278857e-05,2.587225764304984e-05,2.5872245565823293e-05,0.0,0.0
DNA_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lipid_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
constituent_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prosthetic_group_biomass_to_biomass,2.277674339410754e-05,2.2706142958658064e-05,2.273654009781581e-05,2.2734866116227572e-05,2.2736944814301073e-05,2.2753523347612412e-05,2.2741878048432856e-05,2.2701699788070994e-05,2.2773532838014437e-05,2.2736571017573195e-05,2.273654009781581e-05,0.0,0.0
peptidoglycan_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_2ddglcn_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_2hxmp_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
