,base,HISt2r_FWD_BSU39390-MONOMER_s,ASPt2r_FWD_CPLX_dummy_s,ASNt2r_FWD_CPLX_dummy_s,4FE4St_s,CBL1t_s,METt3_FWD_CPLX_dummy_s,PYDX5Pt_s,TYRt2r_REV_CPLX_dummy_s,PSER_Lt6_FWD_CPLX_dummy_s,PHEt2r_REV_CPLX_dummy_s,THMPPt_s,CITt13_FWD_BSU07610-MONOMER_s
biomass_dilution,0.04533893147198116,0.04531816495001092,0.04532065156473097,0.04532967268118273,0.0453962429118385,0.04532159170013937,0.04532159170013937,0.04532265836690449,0.0453240008215706,0.0453275768453476,0.04533718461687651,0.0,0.0
protein_biomass_to_biomass,0.026118379823689124,0.026106993014522618,0.026108578950669738,0.026113634900119143,0.026152427188604367,0.02610893251769867,0.02610893251769867,0.02610965464921155,0.02611033696973726,0.02611247892578131,0.026117957912977184,0.0,0.0
mRNA_biomass_to_biomass,8.836861407118837e-05,8.831115731746255e-05,8.831144646519533e-05,8.833318402444531e-05,8.844974642544345e-05,8.831883390895306e-05,8.831883390895306e-05,8.831841781697769e-05,8.832303814716594e-05,8.832827555809083e-05,8.834803114062194e-05,0.0,0.0
tRNA_biomass_to_biomass,0.0005228031664275876,0.0005224633523839288,0.0005224647397509346,0.0005225937066425066,0.0005232833304202905,0.0005225088445937805,0.0005225088445937805,0.0005225067923355619,0.0005225337231903848,0.0005225654365717387,0.000522681553491028,0.0,0.0
rRNA_biomass_to_biomass,0.003869135759614418,0.0038666210807562942,0.0038666333029746024,0.00386758533981472,0.0038727025831241406,0.003866957771939336,0.003866957771939336,0.0038669417036299595,0.003867142134153277,0.0038673731916366604,0.00386823700755437,0.0,0.0
ncRNA_biomass_to_biomass,2.5878713959603642e-05,2.5867940712682578e-05,2.5855977561981734e-05,2.5864316022412586e-05,2.587488431652761e-05,2.5872728412784397e-05,2.5872728412784397e-05,2.5867281641017967e-05,2.5873544264918288e-05,2.586832462451443e-05,2.5872245565823293e-05,0.0,0.0
DNA_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lipid_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
constituent_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prosthetic_group_biomass_to_biomass,2.277674339410754e-05,2.2724833648960022e-05,2.2731487556788938e-05,2.274160324248602e-05,2.276488535776707e-05,2.2726462380346073e-05,2.2726462380346073e-05,2.2688782087923307e-05,2.272686660038453e-05,2.2693295423299696e-05,2.273654009781581e-05,0.0,0.0
peptidoglycan_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_2ddglcn_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_2hxmp_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_2pg_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_2pglyc_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_3amba_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_3amp_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_3cmp_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_3gmp_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_3pg_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_3ump_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_4abut_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_5mtr_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_6pgc_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_Larab_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
