,name,subsystem,reaction,complex
biomass_dilution,,,biomass --> ,
protein_biomass_to_biomass,,,protein_biomass + 0.5625 unmodeled_protein_biomass --> 1.5625 biomass,
mRNA_biomass_to_biomass,,,mRNA_biomass --> biomass,
tRNA_biomass_to_biomass,,,tRNA_biomass --> biomass,
rRNA_biomass_to_biomass,,,rRNA_biomass --> biomass,
ncRNA_biomass_to_biomass,,,ncRNA_biomass --> biomass,
DNA_biomass_to_biomass,,,DNA_biomass --> biomass,
lipid_biomass_to_biomass,,,lipid_biomass --> biomass,
constituent_biomass_to_biomass,,,constituent_biomass --> biomass,
prosthetic_group_biomass_to_biomass,,,prosthetic_group_biomass --> biomass,
peptidoglycan_biomass_to_biomass,,,peptidoglycan_biomass --> biomass,
EX_2ddglcn_e,,,2ddglcn_e --> ,
EX_2hxmp_e,,,2hxmp_e --> ,
EX_2pg_e,,,2pg_e --> ,
EX_2pglyc_e,,,2pglyc_e --> ,
EX_3amba_e,,,3amba_e --> ,
EX_3amp_e,,,3amp_e --> ,
EX_3cmp_e,,,3cmp_e --> ,
EX_3gmp_e,,,3gmp_e --> ,
EX_3pg_e,,,3pg_e --> ,
EX_3ump_e,,,3ump_e --> ,
EX_4abut_e,,,4abut_e --> ,
EX_5mtr_e,,,5mtr_e --> ,
EX_6pgc_e,,,6pgc_e --> ,
EX_Larab_e,,,Larab_e --> ,
EX_Lcyst_e,,,Lcyst_e --> ,
EX_abt__L_e,,,abt__L_e --> ,
EX_ac_e,,,ac_e --> ,
EX_acac_e,,,acac_e --> ,
EX_acgam_e,,,acgam_e --> ,
EX_acmana_e,,,acmana_e --> ,
EX_acnam_e,,,acnam_e --> ,
EX_actn__R_e,,,actn__R_e --> ,
EX_ade_e,,,ade_e --> ,
EX_adn_e,,,adn_e --> ,
EX_akg_e,,,akg_e --> ,
EX_ala_B_e,,,ala_B_e --> ,
EX_ala__D_e,,,ala__D_e --> ,
EX_ala_L_Thr__L_e,,,ala_L_Thr__L_e --> ,
EX_ala_L_asp__L_e,,,ala_L_asp__L_e --> ,
EX_ala__L_e,,,ala__L_e --> ,
EX_ala_L_gln__L_e,,,ala_L_gln__L_e --> ,
EX_ala_L_glu__L_e,,,ala_L_glu__L_e --> ,
EX_L_alagly_e,,,L_alagly_e --> ,
EX_ala_L_his__L_e,,,ala_L_his__L_e --> ,
EX_ala_L_leu__L_e,,,ala_L_leu__L_e --> ,
EX_alaala_e,,,alaala_e --> ,
EX_alltn_e,,,alltn_e --> ,
EX_amp_e,,,amp_e --> ,
EX_amylase_e,,,amylase_e --> ,
EX_antim_e,,,antim_e --> ,
EX_arab__D_e,,,arab__D_e --> ,
EX_arab__L_e,,,arab__L_e --> ,
EX_arbt_e,,,arbt_e --> ,
EX_arg__L_e,,,arg__L_e --> ,
EX_argp_e,,,argp_e --> ,
EX_arsenb_e,,,arsenb_e --> ,
EX_arsna_e,,,arsna_e --> ,
EX_arsni2_e,,,arsni2_e --> ,
EX_asn__L_e,,,asn__L_e --> ,
EX_asp__L_e,,,asp__L_e --> ,
EX_bilea_e,,,bilea_e --> ,
EX_btd_RR_e,,,btd_RR_e --> ,
EX_buts_e,,,buts_e --> ,
EX_ca2_e,,,ca2_e <=> ,
EX_cbl2_e,,,cbl2_e --> ,
EX_cd2_e,,,cd2_e --> ,
EX_cellb_e,,,cellb_e --> ,
EX_cgly_e,,,cgly_e --> ,
EX_chitob_e,,,chitob_e --> ,
EX_chol_e,,,chol_e --> ,
EX_chols_e,,,chols_e --> ,
EX_chor_e,,,chor_e --> ,
EX_cit_e,,,cit_e --> ,
EX_citr__L_e,,,citr__L_e --> ,
EX_cmp_e,,,cmp_e --> ,
EX_co2_e,,,co2_e <=> ,
EX_cobalt2_e,,,cobalt2_e <-- ,
EX_crn_e,,,crn_e --> ,
EX_cro4_e,,,cro4_e --> ,
EX_csn_e,,,csn_e --> ,
EX_ctbt_e,,,ctbt_e --> ,
EX_cu2_e,,,cu2_e --> ,
EX_cys__D_e,,,cys__D_e --> ,
EX_cys__L_e,,,cys__L_e --> ,
EX_cyst__L_e,,,cyst__L_e --> ,
EX_cytd_e,,,cytd_e --> ,
EX_dad_2_e,,,dad_2_e --> ,
EX_dcyt_e,,,dcyt_e --> ,
EX_dextrin_e,,,dextrin_e --> ,
EX_dha_e,,,dha_e --> ,
EX_diact_e,,,diact_e --> ,
EX_djenk_e,,,djenk_e --> ,
EX_drib_e,,,drib_e --> ,
EX_dtmp_e,,,dtmp_e --> ,
EX_ectoine_e,,,ectoine_e --> ,
EX_etha_e,,,etha_e --> ,
EX_eths_e,,,eths_e --> ,
EX_etoh_e,,,etoh_e --> ,
EX_fe2_e,,,fe2_e --> ,
EX_fe3_e,,,fe3_e <=> ,
EX_ferrich_e,,,ferrich_e --> ,
EX_ferxa_e,,,ferxa_e --> ,
EX_fol_e,,,fol_e --> ,
EX_for_e,,,for_e --> ,
EX_fru_e,,,fru_e --> ,
EX_fum_e,,,fum_e --> ,
EX_g1p_e,,,g1p_e --> ,
EX_g6p_e,,,g6p_e --> ,
EX_gal_e,,,gal_e --> ,
EX_galctr__D_e,,,galctr__D_e --> ,
EX_galt_e,,,galt_e --> ,
EX_galur_e,,,galur_e --> ,
EX_gam6p_e,,,gam6p_e --> ,
EX_gam_e,,,gam_e --> ,
EX_gbbtn_e,,,gbbtn_e --> ,
EX_glc__D_e,,,glc__D_e <=> ,
EX_glcn__D_e,,,glcn__D_e --> ,
EX_glcr_e,,,glcr_e --> ,
EX_glcur_e,,,glcur_e --> ,
EX_gln__L_e,,,gln__L_e --> ,
EX_glu__D_e,,,glu__D_e --> ,
EX_glu__L_e,,,glu__L_e --> ,
EX_glx_e,,,glx_e --> ,
