




Analysis Type:	PANTHER Overrepresentation Test (Released 20231017)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.7942786 Released 2023-01-05
Analyzed List:	FS_True_MC_False_VG_False.txt (Bacillus subtilis)
Reference List:	reference.txt (Bacillus subtilis)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	reference.txt - REFLIST (883)	FS_True_MC_False_VG_False.txt (2)	FS_True_MC_False_VG_False.txt (expected)	FS_True_MC_False_VG_False.txt (over/under)	FS_True_MC_False_VG_False.txt (fold Enrichment)	FS_True_MC_False_VG_False.txt (raw P-value)	FS_True_MC_False_VG_False.txt (FDR)
DNA-templated transcription initiation (GO:0006352)	14	1	.03	+	31.54	3.36E-02	1.00E00
regulation of DNA-templated transcription initiation (GO:2000142)	14	1	.03	+	31.54	3.36E-02	1.00E00
sporulation resulting in formation of a cellular spore (GO:0030435)	38	2	.09	+	23.24	1.99E-03	1.00E00
anatomical structure formation involved in morphogenesis (GO:0048646)	38	2	.09	+	23.24	1.99E-03	1.00E00
anatomical structure morphogenesis (GO:0009653)	39	2	.09	+	22.64	2.10E-03	1.00E00
anatomical structure development (GO:0048856)	39	2	.09	+	22.64	2.10E-03	7.50E-01
sporulation (GO:0043934)	40	2	.09	+	22.07	2.20E-03	6.30E-01
developmental process (GO:0032502)	41	2	.09	+	21.54	2.31E-03	5.51E-01
regulation of DNA-templated transcription (GO:0006355)	23	1	.05	+	19.20	5.35E-02	1.00E00
DNA-templated transcription (GO:0006351)	23	1	.05	+	19.20	5.35E-02	1.00E00
RNA biosynthetic process (GO:0032774)	23	1	.05	+	19.20	5.35E-02	1.00E00
regulation of RNA biosynthetic process (GO:2001141)	23	1	.05	+	19.20	5.35E-02	1.00E00
regulation of RNA metabolic process (GO:0051252)	24	1	.05	+	18.40	5.57E-02	1.00E00
regulation of nucleobase-containing compound metabolic process (GO:0019219)	25	1	.06	+	17.66	5.79E-02	1.00E00
regulation of macromolecule biosynthetic process (GO:0010556)	25	1	.06	+	17.66	5.79E-02	1.00E00
regulation of biosynthetic process (GO:0009889)	25	1	.06	+	17.66	5.79E-02	1.00E00
regulation of cellular biosynthetic process (GO:0031326)	25	1	.06	+	17.66	5.79E-02	1.00E00
regulation of nitrogen compound metabolic process (GO:0051171)	27	1	.06	+	16.35	6.23E-02	1.00E00
regulation of primary metabolic process (GO:0080090)	27	1	.06	+	16.35	6.23E-02	1.00E00
regulation of cellular metabolic process (GO:0031323)	27	1	.06	+	16.35	6.23E-02	1.00E00
regulation of gene expression (GO:0010468)	30	1	.07	+	14.72	6.89E-02	1.00E00
regulation of metabolic process (GO:0019222)	31	1	.07	+	14.24	7.10E-02	1.00E00
regulation of macromolecule metabolic process (GO:0060255)	31	1	.07	+	14.24	7.10E-02	1.00E00
regulation of cellular process (GO:0050794)	31	1	.07	+	14.24	7.10E-02	1.00E00
regulation of biological process (GO:0050789)	51	1	.12	+	8.66	1.14E-01	1.00E00
biological regulation (GO:0065007)	58	1	.13	+	7.61	1.29E-01	1.00E00
RNA metabolic process (GO:0016070)	63	1	.14	+	7.01	1.39E-01	1.00E00
nucleic acid metabolic process (GO:0090304)	69	1	.16	+	6.40	1.52E-01	1.00E00
nucleobase-containing compound biosynthetic process (GO:0034654)	105	1	.24	+	4.20	2.25E-01	1.00E00
