




Analysis Type:	PANTHER Overrepresentation Test (Released 20231017)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.7942786 Released 2023-01-05
Analyzed List:	FS_False_MC_True_VG_True.txt (Bacillus subtilis)
Reference List:	reference.txt (Bacillus subtilis)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	reference.txt - REFLIST (883)	FS_False_MC_True_VG_True.txt (82)	FS_False_MC_True_VG_True.txt (expected)	FS_False_MC_True_VG_True.txt (over/under)	FS_False_MC_True_VG_True.txt (fold Enrichment)	FS_False_MC_True_VG_True.txt (raw P-value)	FS_False_MC_True_VG_True.txt (FDR)
ATP biosynthetic process (GO:0006754)	8	8	.74	+	10.77	1.43E-05	7.07E-04
ATP metabolic process (GO:0046034)	8	8	.74	+	10.77	1.43E-05	6.84E-04
proton motive force-driven ATP synthesis (GO:0015986)	8	8	.74	+	10.77	1.43E-05	6.62E-04
histidine biosynthetic process (GO:0000105)	10	9	.93	+	9.69	6.89E-06	4.49E-04
indole-containing compound biosynthetic process (GO:0042435)	9	8	.84	+	9.57	2.52E-05	1.06E-03
indole-containing compound metabolic process (GO:0042430)	9	8	.84	+	9.57	2.52E-05	1.03E-03
diaminopimelate metabolic process (GO:0046451)	9	8	.84	+	9.57	2.52E-05	1.00E-03
lysine biosynthetic process via diaminopimelate (GO:0009089)	9	8	.84	+	9.57	2.52E-05	9.75E-04
tryptophan biosynthetic process (GO:0000162)	9	8	.84	+	9.57	2.52E-05	9.50E-04
indolalkylamine metabolic process (GO:0006586)	9	8	.84	+	9.57	2.52E-05	9.25E-04
tryptophan metabolic process (GO:0006568)	9	8	.84	+	9.57	2.52E-05	9.02E-04
indolalkylamine biosynthetic process (GO:0046219)	9	8	.84	+	9.57	2.52E-05	8.80E-04
diaminopimelate biosynthetic process (GO:0019877)	7	6	.65	+	9.23	3.33E-04	5.68E-03
threonine biosynthetic process (GO:0009088)	6	5	.56	+	8.97	1.21E-03	1.65E-02
purine nucleoside triphosphate biosynthetic process (GO:0009145)	10	8	.93	+	8.61	4.22E-05	1.29E-03
purine nucleoside triphosphate metabolic process (GO:0009144)	10	8	.93	+	8.61	4.22E-05	1.26E-03
lysine biosynthetic process (GO:0009085)	10	8	.93	+	8.61	4.22E-05	1.23E-03
purine ribonucleoside triphosphate biosynthetic process (GO:0009206)	10	8	.93	+	8.61	4.22E-05	1.21E-03
purine ribonucleoside triphosphate metabolic process (GO:0009205)	10	8	.93	+	8.61	4.22E-05	1.19E-03
'de novo' IMP biosynthetic process (GO:0006189)	13	10	1.21	+	8.28	5.27E-06	3.77E-04
IMP biosynthetic process (GO:0006188)	14	10	1.30	+	7.69	8.41E-06	5.02E-04
regulation of cell shape (GO:0008360)	13	9	1.21	+	7.45	3.00E-05	9.75E-04
regulation of cell morphogenesis (GO:0022604)	13	9	1.21	+	7.45	3.00E-05	9.53E-04
regulation of anatomical structure morphogenesis (GO:0022603)	13	9	1.21	+	7.45	3.00E-05	9.33E-04
IMP metabolic process (GO:0046040)	15	10	1.39	+	7.18	1.31E-05	6.93E-04
lysine metabolic process (GO:0006553)	12	8	1.11	+	7.18	1.05E-04	2.36E-03
glycosaminoglycan biosynthetic process (GO:0006024)	14	9	1.30	+	6.92	4.58E-05	1.26E-03
aminoglycan biosynthetic process (GO:0006023)	14	9	1.30	+	6.92	4.58E-05	1.24E-03
peptidoglycan biosynthetic process (GO:0009252)	14	9	1.30	+	6.92	4.58E-05	1.22E-03
histidine metabolic process (GO:0006547)	14	9	1.30	+	6.92	4.58E-05	1.19E-03
cell division (GO:0051301)	11	7	1.02	+	6.85	3.67E-04	5.97E-03
arginine biosynthetic process (GO:0006526)	11	7	1.02	+	6.85	3.67E-04	5.90E-03
cysteine biosynthetic process (GO:0019344)	8	5	.74	+	6.73	2.93E-03	3.68E-02
threonine metabolic process (GO:0006566)	8	5	.74	+	6.73	2.93E-03	3.65E-02
ribonucleoside triphosphate metabolic process (GO:0009199)	13	8	1.21	+	6.63	1.59E-04	3.25E-03
ribonucleoside triphosphate biosynthetic process (GO:0009201)	13	8	1.21	+	6.63	1.59E-04	3.20E-03
regulation of developmental process (GO:0050793)	15	9	1.39	+	6.46	6.83E-05	1.66E-03
cell cycle (GO:0007049)	12	7	1.11	+	6.28	5.41E-04	8.33E-03
biogenic amine biosynthetic process (GO:0042401)	14	8	1.30	+	6.15	2.32E-04	4.56E-03
