




Analysis Type:	PANTHER Overrepresentation Test (Released 20231017)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.7942786 Released 2023-01-05
Analyzed List:	FS_None_MC_None_VG_True.txt (Bacillus subtilis)
Reference List:	reference.txt (Bacillus subtilis)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	reference.txt - REFLIST (883)	FS_None_MC_None_VG_True.txt (318)	FS_None_MC_None_VG_True.txt (expected)	FS_None_MC_None_VG_True.txt (over/under)	FS_None_MC_None_VG_True.txt (fold Enrichment)	FS_None_MC_None_VG_True.txt (raw P-value)	FS_None_MC_None_VG_True.txt (FDR)
translation (GO:0006412)	84	84	30.25	+	2.78	1.66E-12	1.49E-10
tRNA aminoacylation (GO:0043039)	21	21	7.56	+	2.78	1.04E-03	2.18E-02
amino acid activation (GO:0043038)	21	21	7.56	+	2.78	1.04E-03	2.15E-02
tRNA aminoacylation for protein translation (GO:0006418)	19	19	6.84	+	2.78	2.16E-03	3.97E-02
peptide biosynthetic process (GO:0043043)	87	84	31.33	+	2.68	5.69E-12	4.07E-10
peptide metabolic process (GO:0006518)	87	84	31.33	+	2.68	5.69E-12	3.88E-10
gene expression (GO:0010467)	101	97	36.37	+	2.67	7.30E-14	9.51E-12
protein metabolic process (GO:0019538)	93	87	33.49	+	2.60	7.86E-12	5.12E-10
tRNA metabolic process (GO:0006399)	28	26	10.08	+	2.58	4.53E-04	1.05E-02
ncRNA metabolic process (GO:0034660)	37	34	13.33	+	2.55	7.47E-05	2.23E-03
macromolecule biosynthetic process (GO:0009059)	148	127	53.30	+	2.38	5.69E-16	1.02E-13
RNA metabolic process (GO:0016070)	63	53	22.69	+	2.34	2.53E-06	1.00E-04
nucleic acid metabolic process (GO:0090304)	69	57	24.85	+	2.29	1.82E-06	7.67E-05
cellular component biogenesis (GO:0044085)	53	42	19.09	+	2.20	9.32E-05	2.67E-03
amide biosynthetic process (GO:0043604)	120	95	43.22	+	2.20	4.73E-10	2.82E-08
macromolecule metabolic process (GO:0043170)	188	146	67.71	+	2.16	3.63E-16	7.43E-14
cellular component organization or biogenesis (GO:0071840)	68	49	24.49	+	2.00	1.52E-04	4.04E-03
amide metabolic process (GO:0043603)	140	96	50.42	+	1.90	1.07E-07	5.26E-06
organonitrogen compound biosynthetic process (GO:1901566)	326	211	117.40	+	1.80	1.45E-19	5.20E-17
cellular nitrogen compound biosynthetic process (GO:0044271)	260	166	93.64	+	1.77	7.97E-13	8.15E-11
cellular biosynthetic process (GO:0044249)	406	259	146.22	+	1.77	2.06E-29	9.84E-27
carbohydrate derivative biosynthetic process (GO:1901137)	106	67	38.17	+	1.76	1.28E-04	3.45E-03
organic substance biosynthetic process (GO:1901576)	435	271	156.66	+	1.73	1.67E-31	1.19E-28
