




Analysis Type:	PANTHER Overrepresentation Test (Released 20231017)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.7942786 Released 2023-01-05
Analyzed List:	FS_None_MC_True_VG_None.txt (Bacillus subtilis)
Reference List:	reference.txt (Bacillus subtilis)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	reference.txt - REFLIST (883)	FS_None_MC_True_VG_None.txt (223)	FS_None_MC_True_VG_None.txt (expected)	FS_None_MC_True_VG_None.txt (over/under)	FS_None_MC_True_VG_None.txt (fold Enrichment)	FS_None_MC_True_VG_None.txt (raw P-value)	FS_None_MC_True_VG_None.txt (FDR)
tRNA aminoacylation for protein translation (GO:0006418)	19	19	4.80	+	3.96	2.72E-05	9.29E-04
translation (GO:0006412)	84	84	21.21	+	3.96	1.01E-21	2.42E-19
histidine biosynthetic process (GO:0000105)	10	10	2.53	+	3.96	2.52E-03	4.57E-02
tRNA aminoacylation (GO:0043039)	21	21	5.30	+	3.96	9.90E-06	4.05E-04
amino acid activation (GO:0043038)	21	21	5.30	+	3.96	9.90E-06	3.94E-04
peptide biosynthetic process (GO:0043043)	87	84	21.97	+	3.82	4.88E-21	9.97E-19
peptide metabolic process (GO:0006518)	87	84	21.97	+	3.82	4.88E-21	8.73E-19
gene expression (GO:0010467)	101	96	25.51	+	3.76	2.76E-24	3.96E-21
tRNA metabolic process (GO:0006399)	28	26	7.07	+	3.68	1.97E-06	9.39E-05
ncRNA metabolic process (GO:0034660)	37	34	9.34	+	3.64	4.84E-08	3.15E-06
protein metabolic process (GO:0019538)	93	84	23.49	+	3.58	9.68E-20	1.54E-17
ribosome biogenesis (GO:0042254)	18	16	4.55	+	3.52	3.05E-04	8.58E-03
ribonucleoprotein complex biogenesis (GO:0022613)	18	16	4.55	+	3.52	3.05E-04	8.41E-03
RNA metabolic process (GO:0016070)	63	52	15.91	+	3.27	1.25E-10	9.38E-09
ncRNA processing (GO:0034470)	17	14	4.29	+	3.26	2.07E-03	3.85E-02
RNA processing (GO:0006396)	20	16	5.05	+	3.17	9.44E-04	2.22E-02
regulation of biological quality (GO:0065008)	20	16	5.05	+	3.17	9.44E-04	2.18E-02
nucleic acid metabolic process (GO:0090304)	69	54	17.43	+	3.10	2.39E-10	1.71E-08
macromolecule biosynthetic process (GO:0009059)	148	110	37.38	+	2.94	3.31E-22	1.19E-19
amide biosynthetic process (GO:0043604)	120	86	30.31	+	2.84	1.39E-15	1.42E-13
