




Analysis Type:	PANTHER Overrepresentation Test (Released 20231017)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.7942786 Released 2023-01-05
Analyzed List:	FS_False_MC_False_VG_True.txt (Bacillus subtilis)
Reference List:	reference.txt (Bacillus subtilis)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	reference.txt - REFLIST (883)	FS_False_MC_False_VG_True.txt (65)	FS_False_MC_False_VG_True.txt (expected)	FS_False_MC_False_VG_True.txt (over/under)	FS_False_MC_False_VG_True.txt (fold Enrichment)	FS_False_MC_False_VG_True.txt (raw P-value)	FS_False_MC_False_VG_True.txt (FDR)
chorismate biosynthetic process (GO:0009423)	7	7	.52	+	13.58	1.21E-05	5.79E-04
isopentenyl diphosphate metabolic process (GO:0046490)	7	7	.52	+	13.58	1.21E-05	5.61E-04
isopentenyl diphosphate biosynthetic process (GO:0009240)	7	7	.52	+	13.58	1.21E-05	5.43E-04
isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway (GO:0019288)	7	7	.52	+	13.58	1.21E-05	5.27E-04
quinone biosynthetic process (GO:1901663)	9	8	.66	+	12.08	4.74E-06	3.23E-04
quinone metabolic process (GO:1901661)	9	8	.66	+	12.08	4.74E-06	3.09E-04
menaquinone biosynthetic process (GO:0009234)	9	8	.66	+	12.08	4.74E-06	2.95E-04
menaquinone metabolic process (GO:0009233)	9	8	.66	+	12.08	4.74E-06	2.83E-04
terpenoid metabolic process (GO:0006721)	8	7	.59	+	11.89	2.15E-05	8.33E-04
chorismate metabolic process (GO:0046417)	8	7	.59	+	11.89	2.15E-05	8.11E-04
terpenoid biosynthetic process (GO:0016114)	8	7	.59	+	11.89	2.15E-05	7.91E-04
glyceraldehyde-3-phosphate metabolic process (GO:0019682)	8	7	.59	+	11.89	2.15E-05	7.71E-04
folic acid biosynthetic process (GO:0046656)	6	5	.44	+	11.32	4.36E-04	9.46E-03
isoprenoid metabolic process (GO:0006720)	13	10	.96	+	10.45	6.51E-07	6.21E-05
isoprenoid biosynthetic process (GO:0008299)	13	10	.96	+	10.45	6.51E-07	5.83E-05
folic acid-containing compound biosynthetic process (GO:0009396)	7	5	.52	+	9.70	7.08E-04	1.37E-02
tetrahydrofolate biosynthetic process (GO:0046654)	7	5	.52	+	9.70	7.08E-04	1.35E-02
pteridine-containing compound biosynthetic process (GO:0042559)	7	5	.52	+	9.70	7.08E-04	1.33E-02
ketone biosynthetic process (GO:0042181)	12	8	.88	+	9.06	2.08E-05	8.28E-04
flavin-containing compound biosynthetic process (GO:0042727)	6	4	.44	+	9.06	3.10E-03	4.30E-02
flavin-containing compound metabolic process (GO:0042726)	6	4	.44	+	9.06	3.10E-03	4.26E-02
riboflavin metabolic process (GO:0006771)	6	4	.44	+	9.06	3.10E-03	4.22E-02
leucine biosynthetic process (GO:0009098)	6	4	.44	+	9.06	3.10E-03	4.18E-02
riboflavin biosynthetic process (GO:0009231)	6	4	.44	+	9.06	3.10E-03	4.14E-02
leucine metabolic process (GO:0006551)	6	4	.44	+	9.06	3.10E-03	4.10E-02
pyrimidine nucleobase biosynthetic process (GO:0019856)	8	5	.59	+	8.49	1.09E-03	1.86E-02
folic acid metabolic process (GO:0046655)	8	5	.59	+	8.49	1.09E-03	1.84E-02
'de novo' UMP biosynthetic process (GO:0044205)	10	6	.74	+	8.15	3.84E-04	9.02E-03
folic acid-containing compound metabolic process (GO:0006760)	9	5	.66	+	7.55	1.61E-03	2.47E-02
tetrahydrofolate metabolic process (GO:0046653)	9	5	.66	+	7.55	1.61E-03	2.45E-02
pteridine-containing compound metabolic process (GO:0042558)	9	5	.66	+	7.55	1.61E-03	2.42E-02
aromatic amino acid family biosynthetic process (GO:0009073)	19	10	1.40	+	7.15	8.18E-06	4.34E-04
aromatic amino acid metabolic process (GO:0009072)	19	10	1.40	+	7.15	8.18E-06	4.19E-04
dicarboxylic acid biosynthetic process (GO:0043650)	25	13	1.84	+	7.06	3.16E-07	4.12E-05
pyrimidine nucleobase metabolic process (GO:0006206)	10	5	.74	+	6.79	2.28E-03	3.34E-02
pyrimidine ribonucleoside monophosphate biosynthetic process (GO:0009174)	12	6	.88	+	6.79	7.98E-04	1.48E-02
pyrimidine ribonucleoside monophosphate metabolic process (GO:0009173)	12	6	.88	+	6.79	7.98E-04	1.46E-02
UMP metabolic process (GO:0046049)	12	6	.88	+	6.79	7.98E-04	1.45E-02
UMP biosynthetic process (GO:0006222)	12	6	.88	+	6.79	7.98E-04	1.43E-02
cellular ketone metabolic process (GO:0042180)	16	8	1.18	+	6.79	9.73E-05	2.84E-03
pyrimidine ribonucleotide biosynthetic process (GO:0009220)	15	7	1.10	+	6.34	3.87E-04	8.94E-03
pyrimidine ribonucleotide metabolic process (GO:0009218)	15	7	1.10	+	6.34	3.87E-04	8.80E-03
pyrimidine nucleoside monophosphate biosynthetic process (GO:0009130)	13	6	.96	+	6.27	1.10E-03	1.84E-02
pyrimidine nucleoside monophosphate metabolic process (GO:0009129)	13	6	.96	+	6.27	1.10E-03	1.82E-02
pyrimidine nucleotide metabolic process (GO:0006220)	18	8	1.33	+	6.04	1.85E-04	4.90E-03
cellular aldehyde metabolic process (GO:0006081)	16	7	1.18	+	5.94	5.27E-04	1.06E-02
pyrimidine nucleotide biosynthetic process (GO:0006221)	17	7	1.25	+	5.59	7.03E-04	1.38E-02
phospholipid biosynthetic process (GO:0008654)	21	8	1.55	+	5.18	4.30E-04	9.62E-03
