Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KW_BIOLOGICAL_PROCESS	KW-0813~Transport	221	34.53125	1.2234230744260238E-27	BSU_05980, BSU_02350, BSU_03320, BSU_23050, BSU_07800, BSU_12950, BSU_07920, BSU_19350, BSU_32440, BSU_35950, BSU_36120, BSU_40070, BSU_23970, BSU_28740, BSU_08450, BSU_22090, BSU_26690, BSU_33300, BSU_02340, BSU_10520, BSU_13910, BSU_12940, BSU_33420, BSU_35960, BSU_15650, BSU_34190, BSU_23980, BSU_24950, BSU_29600, BSU_08200, BSU_28750, BSU_08440, BSU_13900, BSU_12930, BSU_10870, BSU_33310, BSU_12010, BSU_39410, BSU_22540, BSU_06370, BSU_24960, BSU_27430, BSU_26590, BSU_05830, BSU_12360, BSU_38570, BSU_24970, BSU_22550, BSU_27200, BSU_27440, BSU_07570, BSU_27450, BSU_29990, BSU_30740, BSU_05820, BSU_14890, BSU_33330, BSU_34660, BSU_38580, BSU_22560, BSU_24980, BSU_24740, BSU_01580, BSU_06230, BSU_27460, BSU_30750, BSU_31600, BSU_02420, BSU_05810, BSU_30070, BSU_14400, BSU_38590, BSU_03070, BSU_09850, BSU_24990, BSU_28430, BSU_28440, BSU_30760, BSU_03981, BSU_31610, BSU_13300, BSU_39450, BSU_38240, BSU_09280, BSU_03060, BSU_01680, BSU_40330, BSU_30770, BSU_28450, BSU_31620, BSU_30530, BSU_02760, BSU_02640, BSU_33800, BSU_02400, BSU_13890, BSU_23560, BSU_31630, BSU_06310, BSU_08850, BSU_07520, BSU_30420, BSU_02990, BSU_02870, BSU_02750, BSU_33810, BSU_02630, BSU_10010, BSU_33490, BSU_18540, BSU_27810, BSU_05340, BSU_07510, BSU_30430, BSU_33820, BSU_08840, BSU_31640, BSU_02980, BSU_02860, BSU_03950, BSU_33700, BSU_03830, BSU_34590, BSU_38710, BSU_19520, BSU_38270, BSU_38390, BSU_09130, BSU_06660, BSU_04360, BSU_33830, BSU_08830, BSU_07500, BSU_30440, BSU_33710, BSU_31650, BSU_02850, BSU_03820, BSU_15480, BSU_33390, BSU_32180, BSU_38160, BSU_38280, BSU_31090, BSU_26860, BSU_04470, BSU_33720, BSU_07610, BSU_33960, BSU_27040, BSU_29340, BSU_13850, BSU_03810, BSU_33160, BSU_10220, BSU_31660, BSU_30450, BSU_37760, BSU_39020, BSU_38050, BSU_38170, BSU_01630, BSU_03000, BSU_29350, BSU_33730, BSU_27050, BSU_39710, BSU_03800, BSU_15580, BSU_33290, BSU_39390, BSU_39270, BSU_38060, BSU_01620, BSU_06990, BSU_25790, BSU_26640, BSU_33500, BSU_02140, BSU_06980, BSU_31322, BSU_27060, BSU_29360, BSU_38750, BSU_01610, BSU_26650, BSU_08000, BSU_34600, BSU_03220, BSU_22060, BSU_29370, BSU_27070, BSU_07700, BSU_39610, BSU_11640, BSU_38760, BSU_18120, BSU_17710, BSU_09680, BSU_05990, BSU_31100, BSU_34610, BSU_03330, BSU_35940, BSU_14900, BSU_12840, BSU_29380, BSU_12960, BSU_19580, BSU_32430, BSU_31580, BSU_38770, BSU_37320, BSU_36470, BSU_39060, BSU_08460, BSU_06160, BSU_23960, BSU_07490, BSU_28730, BSU_02480	490	242	750	1.3977905211671446	1.443639227822708E-25	1.443639227822708E-25	1.3702338433571467E-25
GOTERM_CC_DIRECT	GO:0005886~plasma membrane	205	32.03125	2.7747115920703006E-18	BSU_02350, BSU_23050, BSU_07800, BSU_12950, BSU_19350, BSU_32440, BSU_35950, BSU_36120, BSU_23970, BSU_28740, BSU_08450, BSU_22090, BSU_26690, BSU_33300, BSU_35600, BSU_02340, BSU_10520, BSU_12940, BSU_36130, BSU_33420, BSU_35960, BSU_15650, BSU_34190, BSU_23980, BSU_24950, BSU_29600, BSU_08200, BSU_28750, BSU_08440, BSU_12930, BSU_10870, BSU_12010, BSU_22540, BSU_06370, BSU_24960, BSU_27430, BSU_26590, BSU_05830, BSU_12360, BSU_36030, BSU_37240, BSU_22550, BSU_27440, BSU_07570, BSU_27450, BSU_29990, BSU_30740, BSU_14890, BSU_33330, BSU_34660, BSU_38580, BSU_22560, BSU_24980, BSU_01580, BSU_06230, BSU_27460, BSU_30750, BSU_31600, BSU_02420, BSU_30070, BSU_14400, BSU_14880, BSU_03070, BSU_09850, BSU_24990, BSU_28440, BSU_28680, BSU_03981, BSU_31610, BSU_13300, BSU_14870, BSU_39450, BSU_38240, BSU_09280, BSU_03060, BSU_01680, BSU_40330, BSU_30770, BSU_28450, BSU_31620, BSU_30410, BSU_30530, BSU_02760, BSU_33800, BSU_02400, BSU_13890, BSU_10140, BSU_23560, BSU_31630, BSU_06310, BSU_08850, BSU_07520, BSU_30420, BSU_02990, BSU_02870, BSU_10010, BSU_33490, BSU_18540, BSU_38140, BSU_28900, BSU_27810, BSU_05340, BSU_07510, BSU_30430, BSU_33820, BSU_08840, BSU_29680, BSU_31640, BSU_03950, BSU_33700, BSU_03830, BSU_33380, BSU_34590, BSU_38710, BSU_38150, BSU_38390, BSU_28910, BSU_09130, BSU_23100, BSU_06660, BSU_04360, BSU_08830, BSU_07500, BSU_30440, BSU_31650, BSU_02850, BSU_03820, BSU_35570, BSU_15480, BSU_33390, BSU_37190, BSU_38160, BSU_38280, BSU_31090, BSU_26860, BSU_04470, BSU_33720, BSU_07610, BSU_33960, BSU_27040, BSU_29340, BSU_13850, BSU_03810, BSU_10220, BSU_31660, BSU_30450, BSU_37760, BSU_12080, BSU_38050, BSU_38170, BSU_01630, BSU_25420, BSU_29350, BSU_27050, BSU_39710, BSU_13960, BSU_03800, BSU_15580, BSU_33290, BSU_39390, BSU_39270, BSU_01620, BSU_25310, BSU_06990, BSU_25790, BSU_26640, BSU_33500, BSU_02140, BSU_06980, BSU_31322, BSU_29360, BSU_14920, BSU_38750, BSU_33180, BSU_01610, BSU_26650, BSU_08000, BSU_03220, BSU_22060, BSU_14910, BSU_29370, BSU_07700, BSU_39610, BSU_38760, BSU_18120, BSU_09680, BSU_31100, BSU_34610, BSU_03330, BSU_35940, BSU_14900, BSU_29380, BSU_19580, BSU_31580, BSU_38770, BSU_37320, BSU_36590, BSU_36470, BSU_39060, BSU_08460, BSU_06160, BSU_23960, BSU_07490, BSU_28730, BSU_02480	445	244	710	1.3404862773991528	1.0543904049867143E-16	1.0543904049867143E-16	1.0543904049867143E-16
UP_KW_CELLULAR_COMPONENT	KW-0472~Membrane	238	37.1875	1.4126586319774515E-17	BSU_05980, BSU_02350, BSU_23050, BSU_07800, BSU_12950, BSU_07920, BSU_19350, BSU_32440, BSU_35950, BSU_36120, BSU_40070, BSU_23970, BSU_28740, BSU_08450, BSU_22090, BSU_26690, BSU_33300, BSU_35600, BSU_02340, BSU_10520, BSU_13910, BSU_12940, BSU_36130, BSU_33420, BSU_35960, BSU_15650, BSU_34190, BSU_23980, BSU_24950, BSU_29600, BSU_08200, BSU_28750, BSU_08440, BSU_12930, BSU_10870, BSU_33310, BSU_12010, BSU_39410, BSU_22540, BSU_06370, BSU_24960, BSU_27430, BSU_26590, BSU_05830, BSU_12360, BSU_36030, BSU_37240, BSU_24970, BSU_22550, BSU_27200, BSU_27440, BSU_07570, BSU_27450, BSU_29990, BSU_30740, BSU_10170, BSU_14890, BSU_33330, BSU_34660, BSU_38580, BSU_22560, BSU_24980, BSU_24740, BSU_01580, BSU_06230, BSU_27460, BSU_30750, BSU_31600, BSU_02420, BSU_30070, BSU_14400, BSU_14880, BSU_03070, BSU_09850, BSU_24990, BSU_28440, BSU_30760, BSU_28680, BSU_03981, BSU_31610, BSU_13300, BSU_14870, BSU_39450, BSU_38240, BSU_09280, BSU_03060, BSU_01680, BSU_40330, BSU_30770, BSU_28450, BSU_31620, BSU_30410, BSU_30530, BSU_02760, BSU_02640, BSU_33800, BSU_02400, BSU_13890, BSU_10140, BSU_08180, BSU_23560, BSU_31630, BSU_06310, BSU_08850, BSU_07520, BSU_30420, BSU_02990, BSU_02870, BSU_33810, BSU_02630, BSU_10010, BSU_33490, BSU_18540, BSU_38140, BSU_38260, BSU_28900, BSU_27810, BSU_05340, BSU_07510, BSU_30430, BSU_33820, BSU_08840, BSU_29680, BSU_31640, BSU_02860, BSU_03950, BSU_33700, BSU_03830, BSU_33380, BSU_34590, BSU_38710, BSU_38150, BSU_19520, BSU_38270, BSU_38390, BSU_28910, BSU_09130, BSU_23100, BSU_06660, BSU_04360, BSU_08830, BSU_07500, BSU_30440, BSU_33710, BSU_31650, BSU_02850, BSU_03820, BSU_35570, BSU_15480, BSU_33390, BSU_32180, BSU_37190, BSU_38160, BSU_38280, BSU_31090, BSU_26860, BSU_04470, BSU_33720, BSU_07610, BSU_33960, BSU_27040, BSU_29340, BSU_13850, BSU_03810, BSU_11670, BSU_10220, BSU_31660, BSU_30450, BSU_37760, BSU_39020, BSU_12080, BSU_38050, BSU_38170, BSU_01630, BSU_25420, BSU_07840, BSU_03000, BSU_29350, BSU_27050, BSU_39710, BSU_13960, BSU_03800, BSU_15580, BSU_33290, BSU_39390, BSU_39270, BSU_38060, BSU_01620, BSU_25310, BSU_06990, BSU_25790, BSU_26640, BSU_33500, BSU_02140, BSU_06980, BSU_31322, BSU_29360, BSU_14920, BSU_38750, BSU_33180, BSU_01610, BSU_26650, BSU_08000, BSU_34600, BSU_03220, BSU_22060, BSU_14910, BSU_29370, BSU_07700, BSU_39610, BSU_11640, BSU_38760, BSU_18120, BSU_17710, BSU_09680, BSU_05990, BSU_31100, BSU_34610, BSU_03330, BSU_35940, BSU_14900, BSU_12840, BSU_29380, BSU_12960, BSU_19580, BSU_32430, BSU_31580, BSU_38770, BSU_37320, BSU_36590, BSU_36470, BSU_39060, BSU_08460, BSU_06160, BSU_23960, BSU_07490, BSU_28730, BSU_02480	356	281	518	1.2323963373185651	7.063293159887258E-17	7.063293159887258E-17	7.063293159887258E-17
GOTERM_CC_DIRECT	GO:0016021~integral component of membrane	172	26.875	8.943600001142876E-17	BSU_31630, BSU_06310, BSU_02350, BSU_08850, BSU_02990, BSU_23050, BSU_07800, BSU_10010, BSU_33490, BSU_19350, BSU_35950, BSU_32440, BSU_36120, BSU_18540, BSU_38140, BSU_38260, BSU_40070, BSU_28900, BSU_27810, BSU_28740, BSU_05340, BSU_08450, BSU_22090, BSU_07510, BSU_26690, BSU_30430, BSU_33820, BSU_35600, BSU_33300, BSU_02340, BSU_31640, BSU_10520, BSU_03950, BSU_33700, BSU_12940, BSU_34590, BSU_38710, BSU_36130, BSU_33420, BSU_15650, BSU_38150, BSU_19520, BSU_38390, BSU_28910, BSU_09130, BSU_29600, BSU_08200, BSU_06660, BSU_04360, BSU_30440, BSU_07500, BSU_31650, BSU_12930, BSU_35570, BSU_10870, BSU_12010, BSU_39410, BSU_15480, BSU_33390, BSU_32180, BSU_37190, BSU_38160, BSU_22540, BSU_06370, BSU_26860, BSU_04470, BSU_33720, BSU_07610, BSU_33960, BSU_27040, BSU_26590, BSU_05830, BSU_13850, BSU_03810, BSU_11670, BSU_10220, BSU_31660, BSU_37760, BSU_12360, BSU_39020, BSU_12080, BSU_36030, BSU_37240, BSU_38050, BSU_38170, BSU_22550, BSU_25420, BSU_27200, BSU_07570, BSU_07840, BSU_29990, BSU_27050, BSU_39710, BSU_03800, BSU_10170, BSU_14890, BSU_34660, BSU_33330, BSU_38580, BSU_15580, BSU_39390, BSU_39270, BSU_38060, BSU_01620, BSU_22560, BSU_25310, BSU_24980, BSU_24740, BSU_06990, BSU_25790, BSU_01580, BSU_06230, BSU_33500, BSU_02140, BSU_06980, BSU_31322, BSU_31600, BSU_02420, BSU_14920, BSU_30070, BSU_14400, BSU_14880, BSU_38750, BSU_01610, BSU_03070, BSU_26650, BSU_09850, BSU_08000, BSU_03220, BSU_22060, BSU_03981, BSU_14910, BSU_31610, BSU_07700, BSU_27070, BSU_13300, BSU_11640, BSU_14870, BSU_38760, BSU_18120, BSU_39450, BSU_38240, BSU_09280, BSU_09680, BSU_01680, BSU_40330, BSU_31100, BSU_28450, BSU_30410, BSU_03330, BSU_31620, BSU_30530, BSU_02760, BSU_14900, BSU_12840, BSU_02400, BSU_33800, BSU_19580, BSU_13890, BSU_31580, BSU_38770, BSU_37320, BSU_10140, BSU_36590, BSU_36470, BSU_08180, BSU_39060, BSU_08460, BSU_06160, BSU_28730, BSU_02480, BSU_23560	445	200	710	1.372134831460674	4.218847493575595E-15	1.6992840002171463E-15	1.6992840002171463E-15
UP_KW_CELLULAR_COMPONENT	KW-1003~Cell membrane	232	36.25	9.855442769696776E-17	BSU_05980, BSU_02350, BSU_23050, BSU_07800, BSU_12950, BSU_07920, BSU_19350, BSU_32440, BSU_35950, BSU_36120, BSU_40070, BSU_23970, BSU_28740, BSU_08450, BSU_22090, BSU_26690, BSU_33300, BSU_35600, BSU_02340, BSU_10520, BSU_12940, BSU_36130, BSU_33420, BSU_35960, BSU_15650, BSU_34190, BSU_23980, BSU_24950, BSU_29600, BSU_08200, BSU_28750, BSU_08440, BSU_12930, BSU_10870, BSU_33310, BSU_12010, BSU_39410, BSU_22540, BSU_06370, BSU_24960, BSU_27430, BSU_26590, BSU_05830, BSU_12360, BSU_36030, BSU_37240, BSU_24970, BSU_22550, BSU_27200, BSU_27440, BSU_07570, BSU_27450, BSU_29990, BSU_30740, BSU_14890, BSU_33330, BSU_34660, BSU_38580, BSU_24980, BSU_24740, BSU_01580, BSU_06230, BSU_27460, BSU_30750, BSU_31600, BSU_02420, BSU_30070, BSU_14400, BSU_14880, BSU_03070, BSU_09850, BSU_24990, BSU_28440, BSU_30760, BSU_28680, BSU_03981, BSU_31610, BSU_13300, BSU_14870, BSU_39450, BSU_38240, BSU_09280, BSU_03060, BSU_01680, BSU_40330, BSU_30770, BSU_28450, BSU_31620, BSU_30410, BSU_30530, BSU_02760, BSU_02640, BSU_33800, BSU_02400, BSU_13890, BSU_10140, BSU_23560, BSU_31630, BSU_06310, BSU_08850, BSU_07520, BSU_30420, BSU_02990, BSU_02870, BSU_33810, BSU_02630, BSU_10010, BSU_33490, BSU_18540, BSU_38140, BSU_38260, BSU_28900, BSU_27810, BSU_05340, BSU_07510, BSU_30430, BSU_33820, BSU_08840, BSU_29680, BSU_31640, BSU_02860, BSU_03950, BSU_33700, BSU_03830, BSU_33380, BSU_34590, BSU_38710, BSU_38150, BSU_19520, BSU_38270, BSU_38390, BSU_28910, BSU_09130, BSU_23100, BSU_06660, BSU_04360, BSU_08830, BSU_07500, BSU_30440, BSU_33710, BSU_31650, BSU_02850, BSU_03820, BSU_35570, BSU_15480, BSU_33390, BSU_32180, BSU_37190, BSU_38160, BSU_38280, BSU_31090, BSU_26860, BSU_04470, BSU_33720, BSU_07610, BSU_33960, BSU_27040, BSU_29340, BSU_13850, BSU_03810, BSU_10220, BSU_31660, BSU_30450, BSU_37760, BSU_39020, BSU_12080, BSU_38050, BSU_38170, BSU_01630, BSU_25420, BSU_03000, BSU_29350, BSU_27050, BSU_39710, BSU_13960, BSU_03800, BSU_15580, BSU_33290, BSU_39390, BSU_39270, BSU_38060, BSU_01620, BSU_25310, BSU_06990, BSU_25790, BSU_26640, BSU_33500, BSU_02140, BSU_06980, BSU_31322, BSU_29360, BSU_14920, BSU_38750, BSU_33180, BSU_01610, BSU_26650, BSU_08000, BSU_34600, BSU_03220, BSU_22060, BSU_14910, BSU_29370, BSU_07700, BSU_39610, BSU_11640, BSU_38760, BSU_18120, BSU_17710, BSU_09680, BSU_05990, BSU_31100, BSU_34610, BSU_03330, BSU_35940, BSU_14900, BSU_12840, BSU_29380, BSU_12960, BSU_19580, BSU_32430, BSU_31580, BSU_38770, BSU_37320, BSU_36590, BSU_36470, BSU_39060, BSU_08460, BSU_06160, BSU_23960, BSU_07490, BSU_28730, BSU_02480	356	274	518	1.2320183711965882	5.551115123125783E-16	2.4638606924241937E-16	2.4638606924241937E-16
UP_SEQ_FEATURE	TRANSMEM:Helical	192	30.0	1.5394347534348099E-12	BSU_31630, BSU_05980, BSU_06310, BSU_02350, BSU_08850, BSU_02990, BSU_23050, BSU_02870, BSU_07800, BSU_02630, BSU_07920, BSU_10010, BSU_33490, BSU_19350, BSU_35950, BSU_32440, BSU_36120, BSU_18540, BSU_38140, BSU_38260, BSU_40070, BSU_28900, BSU_27810, BSU_23970, BSU_28740, BSU_05340, BSU_08450, BSU_22090, BSU_07510, BSU_26690, BSU_30430, BSU_33820, BSU_35600, BSU_33300, BSU_02340, BSU_31640, BSU_10520, BSU_03950, BSU_33700, BSU_12940, BSU_34590, BSU_38710, BSU_36130, BSU_33420, BSU_15650, BSU_38150, BSU_19520, BSU_38390, BSU_34190, BSU_28910, BSU_09130, BSU_29600, BSU_08200, BSU_06660, BSU_04360, BSU_30440, BSU_07500, BSU_31650, BSU_12930, BSU_35570, BSU_10870, BSU_33310, BSU_12010, BSU_39410, BSU_15480, BSU_33390, BSU_32180, BSU_37190, BSU_38160, BSU_38280, BSU_22540, BSU_06370, BSU_26860, BSU_04470, BSU_33720, BSU_07610, BSU_33960, BSU_27040, BSU_26590, BSU_05830, BSU_13850, BSU_03810, BSU_11670, BSU_10220, BSU_31660, BSU_37760, BSU_12360, BSU_39020, BSU_12080, BSU_36030, BSU_37240, BSU_38050, BSU_38170, BSU_24970, BSU_22550, BSU_25420, BSU_27200, BSU_07570, BSU_07840, BSU_27450, BSU_29990, BSU_30740, BSU_29350, BSU_27050, BSU_39710, BSU_03800, BSU_10170, BSU_14890, BSU_34660, BSU_33330, BSU_38580, BSU_15580, BSU_39390, BSU_39270, BSU_38060, BSU_01620, BSU_22560, BSU_25310, BSU_24980, BSU_24740, BSU_06990, BSU_25790, BSU_01580, BSU_06230, BSU_33500, BSU_27460, BSU_02140, BSU_06980, BSU_31322, BSU_30750, BSU_31600, BSU_29360, BSU_02420, BSU_14920, BSU_30070, BSU_14400, BSU_14880, BSU_38750, BSU_01610, BSU_03070, BSU_26650, BSU_09850, BSU_08000, BSU_34600, BSU_03220, BSU_22060, BSU_03981, BSU_14910, BSU_31610, BSU_07700, BSU_13300, BSU_11640, BSU_14870, BSU_38760, BSU_18120, BSU_39450, BSU_38240, BSU_17710, BSU_09280, BSU_09680, BSU_03060, BSU_01680, BSU_40330, BSU_05990, BSU_31100, BSU_28450, BSU_30410, BSU_03330, BSU_31620, BSU_30530, BSU_02760, BSU_14900, BSU_02640, BSU_12840, BSU_02400, BSU_33800, BSU_19580, BSU_13890, BSU_31580, BSU_32430, BSU_38770, BSU_37320, BSU_10140, BSU_36590, BSU_36470, BSU_08180, BSU_39060, BSU_08460, BSU_06160, BSU_28730, BSU_02480, BSU_23560	590	221	862	1.2692997929289056	9.236611475671452E-10	9.236608520608859E-10	9.236608520608859E-10
KEGG_PATHWAY	bsu02010:ABC transporters	65	10.15625	3.451295596895474E-11	BSU_27450, BSU_08850, BSU_30740, BSU_03000, BSU_29350, BSU_30420, BSU_33730, BSU_07520, BSU_02990, BSU_02870, BSU_02750, BSU_12950, BSU_33810, BSU_35950, BSU_24980, BSU_23970, BSU_28740, BSU_07510, BSU_27460, BSU_30430, BSU_33820, BSU_08840, BSU_30750, BSU_29360, BSU_02980, BSU_02860, BSU_33700, BSU_12940, BSU_33380, BSU_34590, BSU_35960, BSU_23980, BSU_24950, BSU_28750, BSU_24990, BSU_33830, BSU_08830, BSU_30760, BSU_30440, BSU_07500, BSU_33710, BSU_34600, BSU_35930, BSU_12930, BSU_29370, BSU_02850, BSU_33390, BSU_24960, BSU_27430, BSU_33720, BSU_30770, BSU_30410, BSU_29340, BSU_34610, BSU_35940, BSU_02760, BSU_29380, BSU_33800, BSU_12960, BSU_30450, BSU_24970, BSU_23960, BSU_07490, BSU_28730, BSU_27440	466	67	749	1.5593171481647554	3.2787300652259432E-9	3.2787308170507006E-9	2.8990883013921984E-9
UP_KW_MOLECULAR_FUNCTION	KW-0560~Oxidoreductase	125	19.53125	2.8162606082829484E-9	BSU_32840, BSU_27010, BSU_32200, BSU_03200, BSU_14610, BSU_18260, BSU_19230, BSU_38140, BSU_38260, BSU_37170, BSU_06150, BSU_23850, BSU_09300, BSU_33940, BSU_04000, BSU_24150, BSU_03310, BSU_04520, BSU_38830, BSU_39760, BSU_32450, BSU_12380, BSU_38150, BSU_23860, BSU_07990, BSU_09530, BSU_03270, BSU_26970, BSU_21680, BSU_24160, BSU_03300, BSU_29050, BSU_31930, BSU_11720, BSU_19370, BSU_13620, BSU_32100, BSU_18440, BSU_38160, BSU_21690, BSU_08030, BSU_22140, BSU_32510, BSU_29220, BSU_08820, BSU_04340, BSU_03930, BSU_11670, BSU_32470, BSU_35580, BSU_15630, BSU_39700, BSU_18570, BSU_32110, BSU_18450, BSU_15110, BSU_23800, BSU_39780, BSU_21900, BSU_38170, BSU_06240, BSU_25020, BSU_12910, BSU_00090, BSU_13960, BSU_32480, BSU_32000, BSU_14890, BSU_19310, BSU_00810, BSU_22960, BSU_08090, BSU_22560, BSU_08650, BSU_26640, BSU_07830, BSU_29120, BSU_03990, BSU_14920, BSU_34790, BSU_03910, BSU_32490, BSU_37780, BSU_38110, BSU_38630, BSU_32130, BSU_38750, BSU_16730, BSU_27220, BSU_28430, BSU_28440, BSU_28680, BSU_09840, BSU_29130, BSU_03860, BSU_32820, BSU_24080, BSU_12330, BSU_18480, BSU_31050, BSU_14870, BSU_38760, BSU_14590, BSU_12290, BSU_37790, BSU_16740, BSU_08070, BSU_21810, BSU_39050, BSU_28450, BSU_33400, BSU_29020, BSU_14900, BSU_31060, BSU_39860, BSU_39980, BSU_10140, BSU_13130, BSU_14580, BSU_16990, BSU_12160, BSU_08060, BSU_03290, BSU_03050, BSU_08860	459	154	758	1.3404351639645757	9.575285453422566E-8	9.575286068162024E-8	9.012033946505435E-8
GOTERM_MF_DIRECT	GO:0022857~transmembrane transporter activity	48	7.5	2.2111524883201733E-7	BSU_07500, BSU_33710, BSU_27450, BSU_08850, BSU_03000, BSU_29350, BSU_30420, BSU_12950, BSU_33810, BSU_39710, BSU_03800, BSU_35950, BSU_33310, BSU_18540, BSU_33330, BSU_15480, BSU_38240, BSU_01620, BSU_38060, BSU_23970, BSU_08450, BSU_06230, BSU_04470, BSU_27460, BSU_07510, BSU_33960, BSU_30410, BSU_33300, BSU_02340, BSU_08840, BSU_10520, BSU_29360, BSU_33700, BSU_33800, BSU_30070, BSU_03810, BSU_19580, BSU_38710, BSU_10220, BSU_12360, BSU_36470, BSU_01610, BSU_08460, BSU_09130, BSU_03070, BSU_27200, BSU_07570, BSU_02480	610	49	928	1.4902643024422886	1.2757537421970166E-4	1.27583498576074E-4	1.27583498576074E-4
UP_KW_BIOLOGICAL_PROCESS	KW-0029~Amino-acid transport	41	6.406249999999999	3.2624772607288545E-7	BSU_06310, BSU_33830, BSU_33710, BSU_27450, BSU_03220, BSU_03000, BSU_29350, BSU_33730, BSU_02990, BSU_29370, BSU_33810, BSU_10010, BSU_10870, BSU_18120, BSU_33330, BSU_39390, BSU_27810, BSU_23970, BSU_40330, BSU_27430, BSU_27460, BSU_26690, BSU_33720, BSU_33820, BSU_29340, BSU_02340, BSU_30530, BSU_02980, BSU_29360, BSU_02420, BSU_29380, BSU_33700, BSU_33800, BSU_02400, BSU_10220, BSU_37760, BSU_23980, BSU_09130, BSU_29600, BSU_27440, BSU_06660	490	41	750	1.530612244897959	3.8496496945317205E-5	1.9248615838300243E-5	1.8269872660081584E-5
