Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	bsu01240:Biosynthesis of cofactors	29	43.28358208955223	1.296493205843869E-9	BSU_23270, BSU_30820, BSU_28080, BSU_15500, BSU_15540, BSU_30780, BSU_15560, BSU_37150, BSU_22780, BSU_00770, BSU_00790, BSU_23250, BSU_27850, BSU_27870, BSU_23280, BSU_10020, BSU_15530, BSU_15550, BSU_30790, BSU_15490, BSU_38490, BSU_30800, BSU_00760, BSU_00780, BSU_22750, BSU_40420, BSU_23260, BSU_27860, BSU_01370	66	105	749	3.1343434343434344	4.5377262614110236E-8	4.5377262204535416E-8	3.630180976362833E-8
UP_KW_BIOLOGICAL_PROCESS	KW-0414~Isoprene biosynthesis	10	14.925373134328357	4.245315634617752E-9	BSU_24280, BSU_25160, BSU_16550, BSU_00900, BSU_00910, BSU_24270, BSU_22740, BSU_25070, BSU_22760, BSU_00460	62	11	750	10.997067448680351	1.2311414665511222E-7	1.231141534039148E-7	9.764225959620829E-8
KEGG_PATHWAY	bsu00900:Terpenoid backbone biosynthesis	10	14.925373134328357	8.84618914751304E-8	BSU_24280, BSU_25160, BSU_16550, BSU_00900, BSU_00910, BSU_24270, BSU_22740, BSU_25070, BSU_22760, BSU_00460	66	13	749	8.72960372960373	3.096161545590448E-6	1.5480831008147821E-6	1.2384664806518256E-6
GOTERM_BP_DIRECT	GO:0009234~menaquinone biosynthetic process	8	11.940298507462686	3.187309974759835E-7	BSU_22740, BSU_38490, BSU_30820, BSU_30800, BSU_22760, BSU_22750, BSU_30780, BSU_30790	66	9	864	11.636363636363637	2.486071273311019E-5	1.8446997275437693E-5	1.653042612993767E-5
KEGG_PATHWAY	bsu01110:Biosynthesis of secondary metabolites	42	62.68656716417911	7.684219266156685E-7	BSU_24280, BSU_23070, BSU_23270, BSU_28260, BSU_36920, BSU_25070, BSU_28280, BSU_30820, BSU_17890, BSU_30780, BSU_22700, BSU_13180, BSU_00910, BSU_22740, BSU_00510, BSU_22600, BSU_22760, BSU_23250, BSU_29750, BSU_23080, BSU_25160, BSU_23280, BSU_28250, BSU_24270, BSU_28270, BSU_11010, BSU_10020, BSU_30790, BSU_16550, BSU_00900, BSU_38490, BSU_22610, BSU_22830, BSU_27900, BSU_22710, BSU_30800, BSU_22750, BSU_00460, BSU_23260, BSU_03150, BSU_01370, BSU_25660	66	258	749	1.847427766032417	2.689441610448373E-5	8.964922477182799E-6	7.17193798174624E-6
GOTERM_BP_DIRECT	GO:0016114~terpenoid biosynthetic process	7	10.44776119402985	9.5828557275001E-7	BSU_25160, BSU_16550, BSU_00900, BSU_00910, BSU_24270, BSU_25070, BSU_00460	66	7	864	13.090909090909092	7.474351705538673E-5	1.8446997275437693E-5	1.653042612993767E-5
GOTERM_BP_DIRECT	GO:0019288~isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway	7	10.44776119402985	9.5828557275001E-7	BSU_25160, BSU_16550, BSU_00900, BSU_00910, BSU_24270, BSU_25070, BSU_00460	66	7	864	13.090909090909092	7.474351705538673E-5	1.8446997275437693E-5	1.653042612993767E-5
GOTERM_BP_DIRECT	GO:0009423~chorismate biosynthetic process	7	10.44776119402985	9.5828557275001E-7	BSU_22700, BSU_23080, BSU_22600, BSU_22710, BSU_03150, BSU_25660, BSU_29750	66	7	864	13.090909090909092	7.474351705538673E-5	1.8446997275437693E-5	1.653042612993767E-5
GOTERM_CC_DIRECT	GO:0005829~cytosol	23	34.32835820895522	1.500501100561025E-6	BSU_24270, BSU_28270, BSU_28280, BSU_11010, BSU_17890, BSU_15550, BSU_15680, BSU_37150, BSU_15490, BSU_22830, BSU_22710, BSU_22890, BSU_30800, BSU_00760, BSU_00770, BSU_23260, BSU_01780, BSU_23250, BSU_06360, BSU_27850, BSU_03150, BSU_01370, BSU_25660	42	147	710	2.6449627470035635	1.5004909688642876E-5	1.500501100561025E-5	1.500501100561025E-5
KEGG_PATHWAY	bsu01100:Metabolic pathways	61	91.04477611940298	2.131693181398988E-6	BSU_28260, BSU_36920, BSU_25070, BSU_30820, BSU_15500, BSU_15540, BSU_17890, BSU_30780, BSU_22600, BSU_00770, BSU_01780, BSU_27850, BSU_23250, BSU_29750, BSU_25160, BSU_24270, BSU_28270, BSU_11010, BSU_17380, BSU_15530, BSU_30790, BSU_15490, BSU_22610, BSU_27900, BSU_22890, BSU_27860, BSU_40420, BSU_23260, BSU_03150, BSU_01370, BSU_24280, BSU_23070, BSU_23270, BSU_28280, BSU_28080, BSU_17390, BSU_15560, BSU_15680, BSU_22700, BSU_37150, BSU_13180, BSU_00910, BSU_00510, BSU_22780, BSU_00790, BSU_27870, BSU_23080, BSU_23280, BSU_28250, BSU_10020, BSU_15550, BSU_16550, BSU_00900, BSU_38490, BSU_22710, BSU_30800, BSU_00780, BSU_22750, BSU_00460, BSU_06360, BSU_25660	66	514	749	1.346804622096451	7.460655766411417E-5	1.8652315337241145E-5	1.4921852269792917E-5
