,base,asp__L_s,cbl1_s,man6p_c,pser__L_s,acnam_s,3amp_s,so4_s,f6p_s,adn_c,pep_s,6pgc_s,leu__L_s,gmp_s,pi_c,pyr_c,zn2_s,arg__L_s,k_s,mg2_s,mn2_s,met__L_c
biomass_dilution,0.013333395888206099,0.013333489512163307,0.013333489512163307,0.013292726145178136,0.013299768778940657,0.0131563753763598,0.012793971554405235,0.013333290849557956,0.013333507760474508,0.012794080657680057,0.007207389893159231,0.013286056889066858,0.013334492266551862,0.013322646072204574,0.013333507760474508,0.0024358265384151895,0.0,0.0,0.0,0.0,0.0,0.0
protein_biomass_to_biomass,0.007803423417865814,0.007803477906948786,0.007803477906948786,0.007779791383808938,0.007783840119103712,0.007700460280663183,0.007488192770915842,0.007803362868070701,0.0078034885502072425,0.0074882565675018975,0.004224829611818866,0.007775911883048008,0.007804066114306006,0.007797186453320593,0.0078034885502072425,0.00143245969084944,0.0,0.0,0.0,0.0,0.0,0.0
mRNA_biomass_to_biomass,2.2380387667400164e-05,2.2380553999572673e-05,2.2380553999572673e-05,2.2307107150677588e-05,2.232106665599622e-05,2.2064170327621572e-05,2.1464451538264336e-05,2.238018371830676e-05,2.238058542336304e-05,2.1464635767978617e-05,1.1898228741340468e-05,2.2295221222426536e-05,2.2382145189485394e-05,2.2360700977950665e-05,2.238058542336304e-05,3.880072145166242e-06,0.0,0.0,0.0,0.0,0.0,0.0
tRNA_biomass_to_biomass,0.0001322547824802674,0.00013225576538171679,0.00013225576538171679,0.00013182159495012924,0.00013190453030821847,0.00013038728028707383,0.00012683252408933333,0.00013225357899519297,0.00013225595245665528,0.00012683361489028284,7.03065993795669e-05,0.00013175131395855576,0.00013226517091099383,0.0001321384669718948,0.00013225595245665528,2.2931160499353575e-05,0.0,0.0,0.0,0.0,0.0,0.0
rRNA_biomass_to_biomass,0.0009785338901859128,0.0009785411627348188,0.0009785411627348188,0.0009753285622334975,0.0009759368128717461,0.0009646977985089178,0.0009383800847345628,0.0009785249735730316,0.0009785425429680566,0.0009383881586147453,0.0005201960157065563,0.0009748084624508918,0.000978611081933602,0.000977673159005173,0.0009785425429680566,0.0001696768047114466,0.0,0.0,0.0,0.0,0.0,0.0
ncRNA_biomass_to_biomass,1.6014160182782822e-06,1.6014359780506669e-06,1.6014359780506669e-06,1.5923478337046918e-06,1.5975936816985563e-06,1.5720763812184129e-06,1.4475725721321436e-06,1.6013803129476844e-06,1.6014360595033464e-06,1.447598123602972e-06,6.336008213869701e-07,1.5907864590067608e-06,1.6010923217304933e-06,1.598642966303591e-06,1.6014360595033464e-06,8.799863871324956e-08,0.0,0.0,0.0,0.0,0.0,0.0
DNA_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lipid_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
constituent_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prosthetic_group_biomass_to_biomass,5.776321438904987e-06,5.7763644616703995e-06,5.7763644616703995e-06,5.752495808661637e-06,5.75858932344722e-06,5.684862318744578e-06,5.5457169149395165e-06,5.776251598006875e-06,5.776383868113003e-06,5.5457635617322775e-06,3.0591800434023775e-06,5.748787713464205e-06,5.779472592915941e-06,5.771268969826083e-06,5.776383868113003e-06,1.03223546825957e-06,0.0,0.0,0.0,0.0,0.0,0.0
