,base,asp__L_s,3amp_s,pep_s,gmp_s,so4_s,adn_c,pser__L_s,pi_c,acnam_s,f6p_s,6pgc_s,cbl1_s,man6p_c,leu__L_s,pyr_c,arg__L_s,zn2_s,k_s,mg2_s,mn2_s,met__L_c
biomass_dilution,0.04683205762239878,0.013333897254293159,0.012795307025085922,0.007200106025774195,0.013323053366911244,0.013333680865889623,0.01279541633472997,0.013300170429734352,0.013333897254293159,0.013158600803081991,0.013333897254293159,0.013285495306158846,0.013333897254293159,0.013290697509185554,0.013334492266551862,0.0024310102008166237,0.0,0.0,0.0,0.0,0.0,0.0
protein_biomass_to_biomass,0.026954473904211823,0.0078037191692248665,0.007488976183679338,0.004220570761003866,0.007797427454068349,0.007803593793110178,0.007489040100942608,0.007784077778564711,0.0078037191692248665,0.007701773665142305,0.0078037191692248665,0.007775590820108135,0.0078037191692248665,0.00777861698620792,0.007804066114306006,0.0014296327219004519,0.0,0.0,0.0,0.0,0.0,0.0
mRNA_biomass_to_biomass,9.196026433820471e-05,2.2381153054407572e-05,2.146662630494961e-05,1.188589401113364e-05,2.2361299275469436e-05,2.238075222203653e-05,2.1466810883096778e-05,2.2321656420464553e-05,2.2381153054407572e-05,2.2067534811252776e-05,2.2381153054407572e-05,2.2294045187854093e-05,2.2381153054407572e-05,2.2303315096287793e-05,2.2382145189485394e-05,3.872236823960223e-06,0.0,0.0,0.0,0.0,0.0,0.0
tRNA_biomass_to_biomass,0.0005440842664510416,0.00013225927547238074,0.0001268453491374925,7.023373072429421e-05,0.00013214197264695937,0.00013225690717134212,0.00012684644199680202,0.00013190798567627615,0.00013225927547238074,0.00013040728961543103,0.00013225927547238074,0.00013174433452588897,0.00013225927547238074,0.0001317991475820288,0.00013226517091099383,2.2884861125165942e-05,0.0,0.0,0.0,0.0,0.0,0.0
rRNA_biomass_to_biomass,0.004026877297415845,0.0009785675856110996,0.0009384755773780397,0.0005196563624218788,0.0009776995483811502,0.0009785500543354482,0.0009384836665270997,0.0009759628383100291,0.0009785675856110996,0.0009648459112754117,0.0009785675856110996,0.0009747572807539346,0.0009785675856110996,0.0009751629099704779,0.000978611081933602,0.00016933415170317014,0.0,0.0,0.0,0.0,0.0,0.0
ncRNA_biomass_to_biomass,2.9248175310312896e-05,1.601090865828309e-06,1.4473787582352788e-06,6.329071235302009e-07,1.5982986292732156e-06,1.6010352284691314e-06,1.4474043223666256e-06,1.5972467829055358e-06,1.601090865828309e-06,1.5728715906319692e-06,1.601090865828309e-06,1.5902507951815646e-06,1.601090865828309e-06,1.591463464270759e-06,1.6010923217304933e-06,8.768063649905279e-08,0.0,0.0,0.0,0.0,0.0,0.0
DNA_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lipid_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
constituent_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prosthetic_group_biomass_to_biomass,2.3522143552402488e-05,5.77694737558799e-06,5.546806508239166e-06,3.0553174248185768e-06,5.771850996596782e-06,5.776815197673725e-06,5.546853277780383e-06,5.759173537316134e-06,5.77694737558799e-06,5.685844004410748e-06,5.77694737558799e-06,5.748738477027056e-06,5.77694737558799e-06,5.751632122612004e-06,5.779472592915941e-06,1.0301425583721491e-06,0.0,0.0,0.0,0.0,0.0,0.0
peptidoglycan_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_2ddglcn_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_2hxmp_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_2pg_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
