,base,leu__L_s,asp__L_s,pser__L_s,acnam_s,pi_c,so4_s,gmp_s,cbl1_s,f6p_s,pyr_c,man6p_c,6pgc_s,arg__L_s,zn2_s,mg2_s,k_s,adn_c,pep_s,3amp_s,mn2_s,met__L_c
biomass_dilution,0.04683205762239878,0.0024310102008166237,0.0024358265384151895,0.002430858385862779,0.002397964869137703,0.0024358265384151895,0.0024358405952538743,0.0024311876197229397,0.0024358265384151895,0.0024358265384151895,0.0024358265384151895,0.002435234469702593,0.0024352759742077928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
protein_biomass_to_biomass,0.026954473904211823,0.0014296327219004519,0.00143245969084944,0.001429541326134331,0.0014102322249987115,0.00143245969084944,0.0014324679618441677,0.0014297374463933526,0.00143245969084944,0.00143245969084944,0.00143245969084944,0.0014321119755739962,0.0014321363534978986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mRNA_biomass_to_biomass,9.196026433820471e-05,3.872236823960223e-06,3.880072145166242e-06,3.872067037970046e-06,3.818643882293727e-06,3.880072145166242e-06,3.880094431821462e-06,3.872507073508402e-06,3.880072145166242e-06,3.880072145166242e-06,3.880072145166242e-06,3.879120431046116e-06,3.879187104477654e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tRNA_biomass_to_biomass,0.0005440842664510416,2.2884861125165942e-05,2.2931160499353575e-05,2.2883864498389532e-05,2.2568199283974114e-05,2.2931160499353575e-05,2.2931292338870757e-05,2.2886454355012927e-05,2.2931160499353575e-05,2.2931160499353575e-05,2.2931160499353575e-05,2.292552382025592e-05,2.2925918649667423e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rRNA_biomass_to_biomass,0.004026877297415845,0.00016933415170317014,0.0001696768047114466,0.00016932644617519038,0.00016698934710791049,0.0001696768047114466,0.00016967777857347484,0.00016934599440859922,0.0001696768047114466,0.0001696768047114466,0.0001696768047114466,0.00016963508827768988,0.00016963801021203473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ncRNA_biomass_to_biomass,2.9248175310312896e-05,8.768063649905279e-08,8.799863871324956e-08,8.77988361166101e-08,8.587864249245489e-08,8.799863871324956e-08,8.799915180171288e-08,8.766860756309322e-08,8.799863871324956e-08,8.799863871324956e-08,8.799863871324956e-08,8.796211454350186e-08,8.796457459548575e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DNA_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lipid_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
constituent_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prosthetic_group_biomass_to_biomass,2.3522143552402488e-05,1.0301425583721491e-06,1.03223546825957e-06,1.0298872302203524e-06,1.0149486605453382e-06,1.03223546825957e-06,1.0322403763933528e-06,1.030235288642727e-06,1.03223546825957e-06,1.03223546825957e-06,1.03223546825957e-06,1.0318132246886108e-06,1.0318413265506949e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
peptidoglycan_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_2ddglcn_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_2hxmp_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_2pg_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_2pglyc_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_3amba_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_3amp_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
