,base,asp__L_s,so4_s,pser__L_s,leu__L_s,3amp_s,acnam_s,6pgc_s,pi_c,adn_c,cbl1_s,man6p_c,pep_s,gmp_s,f6p_s,pyr_c,zn2_s,arg__L_s,mg2_s,k_s,mn2_s,met__L_c
biomass_dilution,0.04683205762239878,0.013333489512163307,0.013333272601946089,0.013299765503654953,0.013333897254293159,0.012793971554405235,0.0131563753763598,0.013286038766338304,0.013333489512163307,0.012794080657680057,0.013333489512163307,0.013292726145178136,0.007207389893159231,0.013322646072204576,0.013333507760474508,0.0024358265384151895,0.0,0.0,0.0,0.0,0.0,0.0
protein_biomass_to_biomass,0.026954473904211823,0.007803477906948786,0.007803352225218466,0.007783838176195614,0.0078037191692248665,0.007488192770915842,0.007700460280663183,0.007775901312785107,0.007803477906948786,0.0074882565675018975,0.007803477906948786,0.007779791383808938,0.004224829611818866,0.007797186453320593,0.0078034885502072425,0.00143245969084944,0.0,0.0,0.0,0.0,0.0,0.0
mRNA_biomass_to_biomass,9.196026433820471e-05,2.2380553999572673e-05,2.2380152295771635e-05,2.232106180641647e-05,2.2381153054407572e-05,2.1464451538264336e-05,2.2064170327621572e-05,2.2295190022550482e-05,2.2380553999572673e-05,2.1464635767978617e-05,2.2380553999572673e-05,2.2307107150677588e-05,1.1898228741340468e-05,2.2360700977950665e-05,2.238058542336304e-05,3.880072145166242e-06,0.0,0.0,0.0,0.0,0.0,0.0
tRNA_biomass_to_biomass,0.0005440842664510416,0.00013225576538171679,0.00013225339192772637,0.00013190450193977638,0.00013225927547238074,0.00012683252408933333,0.00013038728028707383,0.0001317511282165549,0.00013225576538171679,0.00012683361489028284,0.00013225576538171679,0.00013182159495012924,7.03065993795669e-05,0.0001321384669718948,0.00013225595245665528,2.2931160499353575e-05,0.0,0.0,0.0,0.0,0.0,0.0
rRNA_biomass_to_biomass,0.004026877297415845,0.0009785411627348188,0.000978523593394924,0.0009759366077828411,0.0009785675856110996,0.0009383800847345628,0.0009646977985089178,0.0009748070920522539,0.0009785411627348188,0.0009383881586147453,0.0009785411627348188,0.0009753285622334975,0.0005201960157065563,0.000977673159005173,0.0009785425429680566,0.0001696768047114466,0.0,0.0,0.0,0.0,0.0,0.0
ncRNA_biomass_to_biomass,2.9248175310312896e-05,1.6014359780506669e-06,1.6013802315009236e-06,1.5975936743322782e-06,1.601090865828309e-06,1.4475725721321436e-06,1.5720763812184129e-06,1.5907863785341657e-06,1.6014359780506669e-06,1.447598123602972e-06,1.6014359780506669e-06,1.5923478337046918e-06,6.336008213869701e-07,1.598642966303591e-06,1.6014360595033464e-06,8.799863871324956e-08,0.0,0.0,0.0,0.0,0.0,0.0
DNA_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lipid_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
constituent_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prosthetic_group_biomass_to_biomass,2.3522143552402488e-05,5.7763644616703995e-06,5.776232192312889e-06,5.758588145938241e-06,5.77694737558799e-06,5.5457169149395165e-06,5.684862318744578e-06,5.7487684416808105e-06,5.7763644616703995e-06,5.5457635617322775e-06,5.7763644616703995e-06,5.752495808661637e-06,3.0591800434023775e-06,5.771268969826083e-06,5.776383868113003e-06,1.03223546825957e-06,0.0,0.0,0.0,0.0,0.0,0.0
