,base,fum_c,dad_2_s,fol_s,thym_c,cit_c,g1p_s,thymd_s,succ_c,ala__D_s,nac_s,pnto__R_s,ribflv_s,citr__L_s,ala__L_s,asp__L_s,3cmp_s,cit_s,met__L_c,glu__L_s,glu__D_s,for_c,6pgc_s,f6p_s,pser__L_s,chor_s,acnam_s,leu__L_s,gmp_s,his__L_s,btd_RR_c,so4_s,phe__L_c,gly_s,ump_s,asn__L_s,cmp_s,acac_s,tyr__L_c,man6p_c,cbl1_s,amp_s,pi_c,3amp_s,adn_c,mg2_s,zn2_s,arg__L_s,k_s,mn2_s
biomass_dilution,0.04691387202813295,0.04691335519203493,0.04691286596286837,0.04691286596286837,0.046909547968124625,0.04691335524484308,0.04690729482848047,0.046909518359701634,0.04691335524484308,0.04691335524484308,0.046913377981208565,0.04691335519203493,0.04691335519203493,0.046913579778190266,0.04691286596286837,0.04691286596286837,0.046913377981208565,0.046913377981208565,0.046915329479932204,0.04689250785813178,0.04691335453272826,0.04689215258009917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
protein_biomass_to_biomass,0.027007713276043135,0.02700741765348198,0.027007140210484896,0.027007140210484896,0.02700530617542931,0.02700741768328009,0.02700401469638742,0.02700528912981042,0.02700741768328009,0.02700741768328009,0.02700743082574031,0.02700741765348198,0.02700741765348198,0.027007547067817148,0.027007140210484896,0.027007140210484896,0.02700743082574031,0.02700743082574031,0.027008553344007553,0.027001644394484686,0.027007417272968362,0.027001460613154893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mRNA_biomass_to_biomass,9.193632422669464e-05,9.193525397363309e-05,9.193416942764865e-05,9.193416942764865e-05,9.19254137456165e-05,9.19352540925651e-05,9.192082329322776e-05,9.192535555058997e-05,9.19352540925651e-05,9.19352540925651e-05,9.193529788116854e-05,9.193525397363309e-05,9.193525397363309e-05,9.193568977039664e-05,9.193416942764865e-05,9.193416942764865e-05,9.193529788116854e-05,9.193529788116854e-05,9.193917187773942e-05,9.170541965776466e-05,9.193525270233689e-05,9.170411238377946e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tRNA_biomass_to_biomass,0.0005439386021037988,0.0005439322585985029,0.0005439258453955409,0.0005439258453955409,0.0005438740635309525,0.0005439322592921267,0.0005438468435072842,0.0005438737195634084,0.0005439322592921267,0.0005439322592921267,0.0005439325166431845,0.0005439322585985029,0.0005439322585985029,0.0005439348509091955,0.0005439258453955409,0.0005439258453955409,0.0005439325166431845,0.0005439325166431845,0.0005439553561209612,0.0005429749685773146,0.0005439322510778791,0.0005429672069286904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rRNA_biomass_to_biomass,0.00402581694878165,0.004025770024530766,0.004025722538664137,0.004025722538664137,0.004025338810075806,0.004025770029812495,0.004025137428920317,0.0040253362612197394,0.004025770029812495,0.004025770029812495,0.004025771934222268,0.004025770024530766,0.004025770024530766,0.004025789184645919,0.004025722538664137,0.004025722538664137,0.004025771934222268,0.004025771934222268,0.004025941871788058,0.004015691110284066,0.00402576996901265,0.00401563400853251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ncRNA_biomass_to_biomass,2.9052191280749123e-05,2.905187158807353e-05,2.905141117054937e-05,2.905141117054937e-05,2.9046619066709424e-05,2.9051871689915928e-05,2.9045744756506056e-05,2.904660781192845e-05,2.9051871689915928e-05,2.9051871689915928e-05,2.9051854960930205e-05,2.905187158807353e-05,2.905187158807353e-05,2.905195615647396e-05,2.905141117054937e-05,2.905141117054937e-05,2.9051854960930205e-05,2.9051854960930205e-05,2.9051472394086647e-05,2.8543073691765534e-05,2.905187145511218e-05,2.8541221935138852e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DNA_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lipid_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
constituent_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prosthetic_group_biomass_to_biomass,2.357596792265709e-05,2.357569977836967e-05,2.3575419327845437e-05,2.3575419327845437e-05,2.357216259724599e-05,2.3575699830838466e-05,2.3571024897788646e-05,2.3572150227187665e-05,2.3575699830838466e-05,2.3575699830838466e-05,2.3575712281781852e-05,2.357569977836967e-05,2.357569977836967e-05,2.3575803243989508e-05,2.3575419327845437e-05,2.3575419327845437e-05,2.3575712281781852e-05,2.3575712281781852e-05,2.3577007739558385e-05,2.352391953854794e-05,2.3575699467216092e-05,2.3523822264529823e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
