,base,asp__L_s,pyr_s,akg_s,gam6p_s,leu__L_s,3pg_c,lys__L_s,for_c,ade_s,gmp_s,gsn_c,succ_c,acac_s,lac__L_c,ac_c,asn__L_s,cmp_s,adn_c,3amp_s,6pgc_s,thr__L_s,met__L_s,mg2_s,arg__L_s,zn2_s,mn2_s,k_s
biomass_dilution,0.021684688427989193,0.02167272418351707,0.019407689863284335,0.0193041436032908,0.021683363384067348,0.02166926235219421,0.02114497328540472,0.021676203112947864,0.021681975747369617,0.021701625634752395,0.021277987158720514,0.021283657487237692,0.01930299256347655,0.01930299256347655,0.012090211839745584,0.020211776129687387,0.021681626024071858,0.021684067510493107,0.02133546968766334,0.021522498735207674,0.021659487646582543,0.02166073907892244,0.0,0.0,0.0,0.0,0.0,0.0
protein_biomass_to_biomass,0.012631479452151689,0.012624666499330256,0.011319208950682431,0.011263074665917585,0.012631056670600991,0.012622607963937915,0.012320206063297699,0.012626610006601426,0.012629916182622075,0.012641515066906216,0.012397657788739835,0.012400918531853227,0.011262362736035876,0.011262362736035876,0.007072801914327685,0.011796190963189807,0.012629726309268912,0.01263115328381997,0.01243014481621053,0.01253832335177161,0.012617474903542925,0.012617711736676973,0.0,0.0,0.0,0.0,0.0,0.0
mRNA_biomass_to_biomass,3.814057328162858e-05,3.8114802749195555e-05,3.370850948934862e-05,3.3400438292212594e-05,3.812755215001658e-05,3.811003207024549e-05,3.709719337593518e-05,3.812343309164376e-05,3.813529006527575e-05,3.816508140902405e-05,3.7332848372907055e-05,3.7344088359340685e-05,3.339967023697062e-05,3.339967023697062e-05,2.0352912324751513e-05,3.485785798039486e-05,3.813425560098565e-05,3.8138394945878274e-05,3.746360333809838e-05,3.7815682107647745e-05,3.807574627586929e-05,3.8092936644106094e-05,0.0,0.0,0.0,0.0,0.0,0.0
tRNA_biomass_to_biomass,0.00022603697047109022,0.00022588415989822032,0.00019975675845794545,0.0001979477572256034,0.0002259606216036426,0.0002258559682871884,0.00021985091677235964,0.00022593540632738024,0.00022600567352569595,0.00022618295287163515,0.00022125198901605506,0.0002213185476366507,0.00019794309284476553,0.00019794309284476553,0.0001206047137728252,0.00020660253487045474,0.00022599953422911155,0.00022602414026658138,0.00022202325598617457,0.00022411094826382602,0.00022565346738787596,0.00022575456927404947,0.0,0.0,0.0,0.0,0.0,0.0
rRNA_biomass_to_biomass,0.0016706285478067311,0.001669499777417876,0.0014763125197103009,0.0014629090807139165,0.0016700658291670233,0.0016692899007152034,0.0016248714759742886,0.0016698776104694113,0.0016703971329640368,0.0016717101064625793,0.0016352436996208133,0.0016357360941999205,0.001462873903412856,0.001462873903412856,0.0008912043354481429,0.0015269985067324853,0.0016703517903216935,0.0016705339136633397,0.0016409412885384919,0.0016563882096500523,0.0016677991747972565,0.0016685407199681888,0.0,0.0,0.0,0.0,0.0,0.0
ncRNA_biomass_to_biomass,3.4490192899376213e-06,3.4437221822964704e-06,2.9799180869444907e-06,2.7245675756993285e-06,3.4362481052768363e-06,3.444033339722081e-06,3.339117790254548e-06,3.4458842833039457e-06,3.448105829890695e-06,3.446596003479011e-06,3.333922153402155e-06,3.3355394132640056e-06,2.7266730576104203e-06,2.7266730576104203e-06,1.5324166972930457e-06,2.6726465246024685e-06,3.4476131141143848e-06,3.4475422004488976e-06,3.3578082951187523e-06,3.378287344695104e-06,3.4350633497487473e-06,3.440405378677913e-06,0.0,0.0,0.0,0.0,0.0,0.0
DNA_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lipid_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
constituent_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prosthetic_group_biomass_to_biomass,9.74667315279093e-06,9.740316065956132e-06,8.668172098497212e-06,8.607593987139593e-06,9.747085227337959e-06,9.737474128859814e-06,9.492607589229336e-06,9.742643461396575e-06,9.74550963772621e-06,9.753605964715034e-06,9.484404651346272e-06,9.48801160785026e-06,8.607448868291942e-06,8.607448868291942e-06,5.264470365563053e-06,9.096203595374525e-06,9.745472573279031e-06,9.746513448155764e-06,9.582456176498994e-06,9.675370698311392e-06,9.719657985974667e-06,9.735859099646878e-06,0.0,0.0,0.0,0.0,0.0,0.0
peptidoglycan_biomass_to_biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_2ddglcn_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_2hxmp_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_2pg_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_2pglyc_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
