,flux
23CN2P1,0.0
23CN2P2,0.0
23CN2P3,0.0
23CN2P4,0.0
26DPAi,-0.0
2HXMPt6,-0.0
2PGLYCt6,-0.0
2PGt6,0.0
2S6HCCi,-7.822935154867766e-15
3AMBAt2,0.0
3AMPt6,0.0
3CMPt6,0.0
3GMPt6,0.0
3NUCLE1,0.0
3NUCLE2,0.0
3NUCLE3,0.0
3NUCLE4,0.0
3PGt6,0.0
3UMPt6,0.0
5MTRt2,-0.0
6PGCt6,0.0
AAMYL_1,0.0
AB6PGH,0.0
ABTA,0.0
ABTt_1,0.0
ABUTD,0.0
ABUTt2r,0.0
ACACT1r,5.365257370022327e-12
ACACT2r,-1.2076513825847426e-25
ACACT3r,-1.2076513825847426e-25
ACACT4r,-1.2076513825847426e-25
ACACT5r_1,-1.2076513825847426e-25
ACACT6r_1,-1.2076513825847426e-25
ACACT7r,-1.2076513825847426e-25
ACACt2,5.169878828456423e-26
ACCOAC,0.0
ACGApts,0.0
ACGK,0.0
ACGS,-0.0
ACHBS,1.6144631372737717e-11
ACKr,2.000000000014462
ACLDC,0.0
ACLS,-4.5224176453695906e-11
ACMANAt2,0.0
ACNAMt2,0.0
ACNPLYS,2.5849394142282115e-26
ACOAD1,5.365257370022373e-12
ACOAD2,-1.2076513825847426e-25
ACOAD20,1.2323559816268351e-11
ACOAD3,1.2076513825847426e-25
ACOAD4_1,1.2076513825847426e-25
ACOAD5_1,1.2076513825847426e-25
ACOAD6,1.2076513825847426e-25
ACOAD7,1.2076513825847426e-25
ACOADH2,-1.2323937249564766e-11
ACODA_1,0.0
ACONT,2.000000000028873
ACOTA,0.0
ACPS1,-0.0
ACPpds,0.0
ACS,-2.5923404062955967e-11
ACS2,0.0
ACTD2,0.0
ACTNabc,0.0
ACTNabc1,0.0
ACt2r,0.0
ADADir,0.0
ADCL,0.0
ADCS,0.0
ADD,0.0
ADEt2,0.0
ADK1,1.1779055078716847e-10
ADK2,0.0
ADMDC,-0.0
ADNK1,0.0
ADNt2,0.0
ADPDA,-1.3454725776264754e-11
ADPRDP,0.0
ADPT,0.0
ADSK,-0.0
ADSL1r,7.855167614602676e-11
ADSL2r,0.0
ADSS,7.855167614602676e-11
AGDC,0.0
AGMT,-0.0
AGPATr_BS,0.0
AGPR,0.0
AHCYSNS,0.0
AHMMPS_1,-0.0
AHSERL3,0.0
AHSERL4,0.0
AICART,-2.574924095024946e-12
AIRC1,0.0
AKGDH,1.9999999999665763
AKGt2r,0.0
AKP1,0.0
ALAALAr,-3.207416858331457e-12
ALAD_L,0.0
ALAR,-1.1102771288704868e-11
ALATA_L,2.2718076557835917e-11
ALAt2r,0.0
ALCD19_L,0.0
ALCD19y,0.0
ALCD2y,2.0
ALDD1,0.0
ALDD10,-0.0
ALDD11,0.0
ALDD12,-0.0
ALDD13,0.0
ALDD14,0.0
ALDD15,0.0
ALDD16,0.0
ALDD17,0.0
ALDD18,0.0
ALDD20x_1,0.0
ALDD2x,2.0000000000019935
ALDD3,0.0
ALDD31_1,0.0
ALDD32,0.0
ALDD4,-5.365257370022494e-12
ALDD4x,0.0
ALDD5,0.0
ALDD6,0.0
ALDD7,0.0
ALDD8,0.0
ALDD9,0.0
ALKP,-0.0
ALLTAHr,-7.854783464477438e-11
ALLTN,-7.854783464477438e-11
ALLTNt2r,0.0
ALTRH,-0.0
AMAA,-0.0
AMAOTr,0.0
AMMQT7,-7.822935154867766e-15
AMPt6,0.0
ANPRT,-1.7116807842923877e-12
ANS,0.0
ANTIMt1,0.0
AOXSr,0.0
APATi,-1.3454725776264754e-11
APNPT,-1.2924697071141057e-26
APRAUR,-0.0
APSR,0.0
APTA1i,-1.3454725776264754e-11
ARABDI,0.0
ARABRr,-0.0
ARAB_Dt,0.0
ARAI,0.0
ARBTpts,0.0
ARBabc,0.0
ARBt2r,0.0
ARGDC,-0.0
ARGKr,-0.0
ARGN_1,9.922935076725633e-12
ARGPt6,0.0
ARGSL,3.842429764135436e-12
ARGSS,3.842429764135436e-12
ARGabc,0.0
ARGt2r,-0.0
ARSENBabc,0.0
ARSENBt2,0.0
ARSNAt1,0.0
ARSt1,0.0
ASAD,1.3454725776264489e-11
ASNN,0.0
ASNS1,-4.661854097192976e-12
ASNt2r,0.0
ASP1DC,-0.0
ASPCT,-3.842429764135436e-12
ASPK,-1.3454725776264489e-11
ASPO1,0.0
ASPO6,-0.0
ASPT,0.0
ASPTA,-5.577239162728342e-11
ASPt2r,0.0
ATPM,9.0
ATPPRT,-2.574924095024946e-12
ATPS4r,8.99999999703474
BALAt2r,0.0
BETALDHx,-0.0
BGLA1,0.0
BG_CELLB,0.0
BG_MADG,0.0
BG_MBDG,0.0
BILEt4,0.0
BIOMASS_BS_10,-3.150178121857309e-11
